MSW05_Order;MSW05_Family;MSW05_Genus;MSW05_Species;MSW05_Binomial;26-2_GR_MaxLat_dd;26-3_GR_MinLat_dd;26-4_GR_MidRangeLat_dd;26-5_GR_MaxLong_dd;26-6_GR_MinLong_dd;26-7_GR_MidRangeLong_dd
Primates;Pitheciidae;Chiropotes;albinasus;Chiropotes_albinasus;-1.78;-15.04;-8.41;-52.12;-61.81;-56.96
Primates;Pitheciidae;Cacajao;calvus;Cacajao_calvus;-1.84;-9.62;-5.73;-65.4;-74.59;-69.99
Primates;Pitheciidae;Cacajao;melanocephalus;Cacajao_melanocephalus;4.03;-2.95;0.53;-61.26;-72.43;-66.84
Primates;Pitheciidae;Callicebus;baptista;Callicebus_baptista;-2.37;-3.95;-3.16;-56.41;-58.99;-57.7
Primates;Pitheciidae;Callicebus;barbarabrownae;Callicebus_barbarabrownae;-8.57;-13.02;-10.8;-37.52;-42.53;-40.02
Primates;Pitheciidae;Callicebus;brunneus;Callicebus_brunneus;-7.82;-12.33;-10.07;-61.45;-65.09;-63.27
Primates;Pitheciidae;Callicebus;cinerascens;Callicebus_cinerascens;-4.32;-12.46;-8.39;-58.37;-60.42;-59.39
Primates;Pitheciidae;Callicebus;coimbrai;Callicebus_coimbrai;-10.01;-11.61;-10.81;-36.3;-38.02;-37.16
Primates;Cebidae;Cebus;albifrons;Cebus_albifrons;11.56;-13.21;-0.82;-55.24;-81;-68.12
Primates;Cebidae;Cebus;apella;Cebus_apella;7.12;-28.66;-10.77;-34.79;-78.14;-56.46
Primates;Cebidae;Cebus;capucinus;Cebus_capucinus;16.02;1.46;8.74;-74.85;-88.77;-81.81
Primates;Cebidae;Cebus;kaapori;Cebus_kaapori;-1.84;-4.16;-3;-44.79;-49.47;-47.13
Primates;Cebidae;Cebus;libidinosus;Cebus_libidinosus;-14.16;-21.99;-18.08;-53.13;-61.36;-57.25
Primates;Cebidae;Cebus;nigritus;Cebus_nigritus;-16.41;-29.8;-23.1;-39.36;-52.43;-45.9
Primates;Cebidae;Cebus;olivaceus;Cebus_olivaceus;11.37;-1.8;4.78;-49.88;-70.6;-60.24
Primates;Cebidae;Cebus;xanthosternos;Cebus_xanthosternos;-13.02;-15.16;-14.09;-39.39;-42.99;-41.19
Primates;Cebidae;Leontopithecus;caissara;Leontopithecus_caissara;-25.28;-26.09;-25.68;-48.34;-49.02;-48.68
Primates;Cebidae;Leontopithecus;chrysomelas;Leontopithecus_chrysomelas;-13.99;-16.03;-15.01;-38.91;-40.62;-39.77
Primates;Cebidae;Leontopithecus;chrysopygus;Leontopithecus_chrysopygus;-20.39;-23.58;-21.99;-47.97;-51.54;-49.76
Primates;Cebidae;Leontopithecus;rosalia;Leontopithecus_rosalia;-21.2;-22.99;-22.1;-40.95;-43.13;-42.04
Primates;Atelidae;Oreonax;flavicauda;Oreonax_flavicauda;-6.26;-9.51;-7.89;-76.03;-77.97;-77
Primates;Pitheciidae;Pithecia;aequatorialis;Pithecia_aequatorialis;-0.48;-4.44;-2.46;-73.29;-77.85;-75.57
Primates;Pitheciidae;Pithecia;albicans;Pithecia_albicans;-2.73;-5.63;-4.18;-62.08;-66.52;-64.3
Primates;Pitheciidae;Pithecia;irrorata;Pithecia_irrorata;-2.25;-14.05;-8.15;-55.26;-71.45;-63.36
Primates;Pitheciidae;Pithecia;monachus;Pithecia_monachus;1.47;-14.05;-6.29;-55.26;-77.85;-66.56
Primates;Pitheciidae;Pithecia;pithecia;Pithecia_pithecia;8.86;-3.02;2.92;-49.88;-61.71;-55.79
Primates;Cebidae;Saguinus;bicolor;Saguinus_bicolor;-0.29;-3.18;-1.74;-55.97;-60.83;-58.4
Primates;Cebidae;Saguinus;fuscicollis;Saguinus_fuscicollis;3.18;-13.75;-5.28;-60.79;-78.01;-69.4
Primates;Cebidae;Saguinus;geoffroyi;Saguinus_geoffroyi;9.63;4.12;6.88;-76.7;-83.08;-79.89
Primates;Cebidae;Saguinus;graellsi;Saguinus_graellsi;0.9;-4.83;-1.96;-73.31;-78.37;-75.84
Primates;Cebidae;Saguinus;imperator;Saguinus_imperator;-6.83;-11.63;-9.23;-67.77;-73.84;-70.81
Primates;Cebidae;Saguinus;inustus;Saguinus_inustus;3.86;-2.56;0.64;-64.4;-72.02;-68.21
Primates;Cebidae;Saguinus;labiatus;Saguinus_labiatus;-1.74;-11.07;-6.4;-59.06;-69.53;-64.29
Primates;Cebidae;Saguinus;leucopus;Saguinus_leucopus;8.78;3.82;6.3;-73.95;-75.81;-74.88
Primates;Cebidae;Saguinus;martinsi;Saguinus_martinsi;-1.47;-2.38;-1.92;-56.42;-57.52;-56.97
Primates;Cebidae;Saguinus;melanoleucus;Saguinus_melanoleucus;-6.8;-10.05;-8.42;-70.03;-72.8;-71.42
Primates;Cebidae;Saguinus;midas;Saguinus_midas;8.02;-8.37;-0.17;-45.3;-64.84;-55.07
Primates;Cebidae;Saguinus;mystax;Saguinus_mystax;-2.65;-9.82;-6.23;-62.13;-75.82;-68.98
Primates;Cebidae;Saguinus;niger;Saguinus_niger;-0.08;-5.48;-2.78;-46.16;-52.57;-49.37
Primates;Cebidae;Saguinus;nigricollis;Saguinus_nigricollis;-1.83;-4.25;-3.04;-68.12;-73.22;-70.67
Primates;Cebidae;Saguinus;oedipus;Saguinus_oedipus;11.02;7.42;9.22;-74.57;-76.93;-75.75
Primates;Cebidae;Saguinus;pileatus;Saguinus_pileatus;-3.5;-6.69;-5.09;-62.28;-67.56;-64.92
Primates;Cebidae;Saguinus;tripartitus;Saguinus_tripartitus;-1.5;-2.49;-2;-75.82;-77.27;-76.55
Primates;Cebidae;Saimiri;boliviensis;Saimiri_boliviensis;-2.7;-19.4;-11.05;-57.71;-76.44;-67.07
Primates;Cebidae;Saimiri;oerstedii;Saimiri_oerstedii;9.52;8.02;8.77;-82.32;-84.32;-83.32
Primates;Cebidae;Saimiri;sciureus;Saimiri_sciureus;7.61;-8.91;-0.64;-44.29;-78.36;-61.33
Primates;Cebidae;Saimiri;ustus;Saimiri_ustus;-1.82;-16.14;-8.98;-50.75;-65.29;-58.02
Primates;Cebidae;Saimiri;vanzolinii;Saimiri_vanzolinii;-1.9;-2.66;-2.28;-66.75;-67.78;-67.26
Primates;Atelidae;Alouatta;belzebul;Alouatta_belzebul;0.08;-13.69;-6.8;-34.79;-60.64;-47.71
Primates;Atelidae;Alouatta;caraya;Alouatta_caraya;-12.1;-28.59;-20.34;-44.44;-65.47;-54.96
Primates;Atelidae;Alouatta;coibensis;Alouatta_coibensis;7.94;7.31;7.63;-81.23;-81.89;-81.56
Primates;Atelidae;Alouatta;guariba;Alouatta_guariba;-12.66;-29.6;-21.13;-38.58;-54.7;-46.64
Primates;Atelidae;Alouatta;macconnelli;Alouatta_macconnelli;8.64;-3.5;2.57;-49.88;-67.51;-58.69
Primates;Atelidae;Alouatta;nigerrima;Alouatta_nigerrima;-2.19;-9.07;-5.63;-55.22;-60.61;-57.92
Primates;Atelidae;Alouatta;palliata;Alouatta_palliata;18.71;-4.8;6.95;-76.77;-95.57;-86.17
Primates;Atelidae;Alouatta;pigra;Alouatta_pigra;21.6;16;18.8;-86.73;-92.43;-89.58
Primates;Atelidae;Alouatta;sara;Alouatta_sara;-9.94;-19.49;-14.72;-57.79;-69.22;-63.5
Primates;Atelidae;Alouatta;seniculus;Alouatta_seniculus;12.2;-10.84;0.68;-60.66;-77.13;-68.89
Primates;Aotidae;Aotus;azarae;Aotus_azarae;-9.91;-24.19;-17.05;-57.59;-68.65;-63.12
Primates;Aotidae;Aotus;hershkovitzi;Aotus_hershkovitzi;4.02;2.96;3.49;-73.65;-74.49;-74.07
Primates;Aotidae;Aotus;lemurinus;Aotus_lemurinus;11.11;1.32;6.21;-70.97;-82.54;-76.76
Primates;Aotidae;Aotus;miconax;Aotus_miconax;-3.98;-7.93;-5.96;-75.39;-78.64;-77.01
Primates;Aotidae;Aotus;nancymaae;Aotus_nancymaae;-2.72;-6.47;-4.59;-66.61;-75.95;-71.28
Primates;Aotidae;Aotus;nigriceps;Aotus_nigriceps;-2.03;-13.42;-7.72;-55.09;-76.5;-65.79
Primates;Aotidae;Aotus;trivirgatus;Aotus_trivirgatus;9.06;-0.76;4.15;-60.35;-70.9;-65.62
Primates;Aotidae;Aotus;vociferans;Aotus_vociferans;7.09;-4.95;1.06;-60.6;-78.2;-69.4
