"","SUM_A","SUM_B","SUM_C","SUM_D","SUM_E","SUM_F","SUM_G","SUM_H","SUM_I","SUM_J","LTT"
"0",44,6,12,20,7,5,8,2,0,1,83
"1",39.6,6,10.7,17.2,7.2,4.2,6.2,1.5,0.1,2,74
"2",33.6,4.5,9.4,13.8,6.1,3.3,3.7,0.8,0.3,2.1,60.5
"3",26.6,3.4,8.5,10.3,5.4,2.7,2.3,0.6,0.3,1.9,47
"4",21.3,2.9,6.3,7.2,4.1,2.1,1.3,0.5,0.3,1.6,34
"5",18.2,2.7,4.7,6,3.4,1.8,1.1,0.5,0.4,1.7,28.5
"6",16.9,2.7,4.3,5.8,2.8,1.7,0.8,0.4,0.4,1.7,26
"7",15.5,2.2,3.8,4.9,2.3,1.3,0.8,0.4,0.4,1.5,22
"8",16,1.9,3.2,3.4,1.8,1.2,0.6,0.3,0.5,1.4,20.5
"9",15,1.7,2.3,2.9,1.6,1,0.6,0.2,0.6,1.3,19
"10",13.3,1.6,1.9,2.2,1.3,0.8,0.6,0.2,0.5,1.3,16
"11",11.8,1.4,1.7,2,1.2,0.7,0.4,0.2,0.4,1.1,14.5
"12",11.3,1.1,1.3,1.9,0.7,0.5,0.4,0.2,0.4,1.1,14
"13",19.2,1,0.9,1.5,0.6,0.5,0.3,0.2,0.4,1,21
"14",18,0.9,0.5,1.1,0.6,0.4,0.3,0.2,0.4,1,19.5
"15",17.1,0.6,0.3,0.9,0.3,0.3,0.1,0.2,0.6,0.8,18.5
"16",13.8,0.3,0.1,0.5,0.1,0.1,0.1,0.1,1.6,0.7,15.5
"17",13.1,0.3,0,0.2,0.1,0.1,0.1,0.1,5.4,0.7,17.5
"18",11.6,0.1,0,0.2,0,0.1,0.1,0,4.8,0.5,15.5
"19",10.9,0,0,0,0,0.1,0.1,0,3.8,0.4,13.5
"20",9.7,0,0,0,0,0.1,0.1,0.1,7,0.2,15.5
"21",8.9,0,0,0,0,0,1,0.1,5.7,0.2,13
"22",6.2,0,0,0,0,0,0.5,0.1,4,0.2,8
"23",5.6,0,0,0,0,0,0.2,0.1,2.5,0.2,6.5
"24",4.6,0,0,0,0,0,0.1,0,1.5,0.1,5
"25",4.1,0,0,0,0,0,0.1,0,1.4,0,4.5
"26",3.6,0,0,0,0,0,0,0,0.8,0,4
"27",4.1,0,0,0,0,0,0,0,0.6,0,4.5
"28",3.5,0,0,0,0,0,0,0,0.4,0,3.5
"29",2.5,0,0,0,0,0,0,0,0.4,0,2.5
"30",2,0,0,0,0.1,0,0,0,0.4,0,2
"31",1.5,0,0,0,0.1,0,0,0,0.4,0,1.5
"32",1,0,0,0,0.1,0,0,0,0.4,0,1
"33",1,0,0,0,0.1,0,0,0,0.4,0,1
"34",1,0,0,0,0.1,0,0,0,0.4,0,1
"35",1,0,0,0,0.2,0,0,0,0.4,0,1
"36",1,0,0,0,0.2,0,0,0,0.4,0,1
"37",1,0,0,0,0.2,0,0,0,0.4,0,1
"38",2,0,0,0,0.4,0,0,0,0.8,0,2
"39",2,0,0,0,0.6,0,0,0,0.6,0,2
