"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"2793",2,3,157,33,"Aotus_nigriceps",1.91,0,"ABD","A","A","ABD -> A","subset_sympatry","–","–","–","","",""
"2794",2,3,156,34,"Aotus_nancymaae",4.31,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2795",2,3,151,35,"Aotus_dindensis",12.66,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2796",2,3,150,36,"Tremacebus_harringtoni",20.28,20,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"2797",2,3,165,37,"Sapajus_apella",0.75,0,"ABD","AD","AD","ABD -> AD","allopatry","–","–","–","","",""
"2798",2,3,165,38,"Sapajus_libidinosus",0.75,0,"ABD","B","B","ABD -> B","allopatry","–","–","–","","",""
"2799",2,3,166,39,"Sapajus_robustus",2.9,0,"CEJ","C","C","CEJ -> C","allopatry","–","–","–","","",""
"2800",2,3,166,40,"Sapajus_xanthosternos",2.9,0,"CEJ","EJ","E","CEJ -> EJ","allopatry","EJ -> E","extinction","1.34","","","e"
"2801",2,3,168,41,"Cebus_albifrons",1.54,0,"ADH","A","A","ADH -> A","allopatry","–","–","–","","",""
"2802",2,3,168,42,"Cebus_olivaceus",1.54,0,"ADH","DH","DH","ADH -> DH","allopatry","–","–","–","","",""
"2803",2,3,167,43,"Cebus_capucinus",1.77,0,"ADH","A","AFG","ADH -> A","subset_sympatry","A -> AFG","dispersal","1.31","","","d"
"2804",2,3,162,44,"Acrecebus_fraileyi",10.03,7.5,"AEH","A","A","AEH -> A","subset_sympatry","–","–","–","","",""
"2805",2,3,169,45,"Killikaike_blakei",16.5,16.4,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"2806",2,3,169,46,"Patasola_magdalenae",16.5,12.5,"AI","A","A","AI -> A","allopatry","–","–","–","","",""
"2807",2,3,174,47,"Saimiri_oerstedii",0.8,0,"AF","F","F","AF -> F","allopatry","–","–","–","","",""
"2808",2,3,174,48,"Saimiri_sciureus",0.8,0,"AF","A","AD","AF -> A","allopatry","A -> AD","dispersal","0.36","","","d"
"2809",2,3,173,49,"Saimiri_ustus",1.82,0,"AF","A","A","AF -> A","subset_sympatry","–","–","–","","",""
"2810",2,3,172,50,"Saimiri_boliviensis",2.44,0,"AF","A","A","AF -> A","subset_sympatry","–","–","–","","",""
"2811",2,3,171,51,"Laventiana_annectens",12.51,12.41,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2812",2,3,170,52,"Neosaimiri_fieldsi",14.43,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2813",2,3,159,53,"Panamacebus_transitus",20.94,20.84,"AG","G","G","AG -> G","allopatry","–","–","–","","",""
"2814",2,3,158,54,"Dolichocebus_gaimanensis",21.5,20,"AGI","I","I","AGI -> I","allopatry","–","–","–","","",""
"2815",2,3,185,55,"Alouatta_macconnelli",0.06,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2816",2,3,185,56,"Alouatta_seniculus",0.06,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
