"","_","A","B","C","D","E","F","G","H","I","J","AB","AC","AD","AE","AF","AG","AH","AI","AJ","BC","BD","BE","BF","BG","BH","BI","BJ","CD","CE","CF","CG","CH","CI","CJ","DE","DF","DG","DH","DI","DJ","EF","EG","EH","EI","EJ","FG","FH","FI","FJ","GH","GI","GJ","HI","HJ","IJ","ABC","ABD","ABE","ABF","ABG","ABH","ABI","ABJ","ACD","ACE","ACF","ACG","ACH","ACI","ACJ","ADE","ADF","ADG","ADH","ADI","ADJ","AEF","AEG","AEH","AEI","AEJ","AFG","AFH","AFI","AFJ","AGH","AGI","AGJ","AHI","AHJ","AIJ","BCD","BCE","BCF","BCG","BCH","BCI","BCJ","BDE","BDF","BDG","BDH","BDI","BDJ","BEF","BEG","BEH","BEI","BEJ","BFG","BFH","BFI","BFJ","BGH","BGI","BGJ","BHI","BHJ","BIJ","CDE","CDF","CDG","CDH","CDI","CDJ","CEF","CEG","CEH","CEI","CEJ","CFG","CFH","CFI","CFJ","CGH","CGI","CGJ","CHI","CHJ","CIJ","DEF","DEG","DEH","DEI","DEJ","DFG","DFH","DFI","DFJ","DGH","DGI","DGJ","DHI","DHJ","DIJ","EFG","EFH","EFI","EFJ","EGH","EGI","EGJ","EHI","EHJ","EIJ","FGH","FGI","FGJ","FHI","FHJ","FIJ","GHI","GHJ","GIJ","HIJ"
"CFJ","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CGH","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CGI","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CGJ","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CHI","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CHJ","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"CIJ","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DEF","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DEG","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DEH","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DEI","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DEJ","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DFG","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
"DFH","founder_event_speciation","founder_event_speciation","founder_event_speciation","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","vicariance_or_subset_sympatry","founder_event_speciation","founder_event_speciation","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","vicariance_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","wide_sympatry_or_subset_sympatry","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
