"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"1",1,1,130,1,"Mico_humeralifer",1.08,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2",1,1,130,2,"Mico_mauesi",1.08,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"3",1,1,129,3,"Mico_argentatus",1.88,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"4",1,1,131,4,"Mico_emiliae",3.98,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"5",1,1,131,5,"Cebuella_pygmaea",3.98,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"6",1,1,135,6,"Callithrix_jacchus",0.48,0,"BCE","B","B","BCE -> B","subset_sympatry","–","–","–","","",""
"7",1,1,135,7,"Callithrix_penicillata",0.48,0,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","",""
"8",1,1,134,8,"Callithrix_kuhlii",1.55,0,"CE","E","E","CE -> E","subset_sympatry","–","–","–","","",""
"9",1,1,133,9,"Callithrix_geoffroyi",1.69,0,"CE","C","C","CE -> C","subset_sympatry","–","–","–","","",""
"10",1,1,132,10,"Callithrix_aurita",4.1,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"11",1,1,126,11,"Callimico_goeldii",10.45,0,"ACD","A","A","ACD -> A","subset_sympatry","–","–","–","","",""
"12",1,1,137,12,"Leontopithecus_chrysopygus",0.34,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"13",1,1,137,13,"Leontopithecus_rosalia",0.34,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"14",1,1,136,14,"Leontopithecus_chrysomelas",0.7,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"15",1,1,142,15,"Saguinus_bicolor",1.58,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"16",1,1,142,16,"Saguinus_martinsi",1.58,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"17",1,1,141,17,"Saguinus_midas",3.71,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"18",1,1,143,18,"Saguinus_geoffroyi",1.41,0,"AG","G","G","AG -> G","subset_sympatry","–","–","–","","",""
"19",1,1,143,19,"Saguinus_oedipus",1.41,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"20",1,1,145,20,"Saguinus_labiatus",1.92,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"21",1,1,145,21,"Saguinus_mystax",1.92,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"22",1,1,144,22,"Saguinus_imperator",3.76,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"23",1,1,148,23,"Saguinus_nigricollis",1.78,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"24",1,1,148,24,"Saguinus_melanoleucus",1.78,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"25",1,1,147,25,"Saguinus_fuscicollis",1.98,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"26",1,1,146,26,"Saguinus_tripartitus",2.58,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"27",1,1,123,27,"Micodon_kyotensis",17.13,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"28",1,1,153,28,"Aotus_griseimembra",1.49,0,"A","A","AG","A -> A","in_situ_speciation","A -> AG","dispersal","0.79","","","d"
"29",1,1,153,29,"Aotus_lemurinus",1.49,0,"A","A","ADG","A -> A","in_situ_speciation","A -> ADG","dispersal","1.48","","","d"
"30",1,1,154,30,"Aotus_trivirgatus",2.13,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"31",1,1,154,31,"Aotus_vociferans",2.13,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"32",1,1,156,32,"Aotus_azarae",2.2,0,"A","A","ABD","A -> A","in_situ_speciation","A -> ABD","dispersal","2.14","","","d"
"33",1,1,156,33,"Aotus_nigriceps",2.2,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"34",1,1,155,34,"Aotus_nancymaae",3.79,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"35",1,1,150,35,"Aotus_dindensis",12.88,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"36",1,1,149,36,"Tremacebus_harringtoni",20.01,19.91,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"37",1,1,162,37,"Sapajus_apella",0.16,0,"ABD","AD","AD","ABD -> AD","allopatry","–","–","–","","",""
"38",1,1,162,38,"Sapajus_libidinosus",0.16,0,"ABD","B","B","ABD -> B","allopatry","–","–","–","","",""
"39",1,1,163,39,"Sapajus_robustus",1.72,0,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"40",1,1,163,40,"Sapajus_xanthosternos",1.72,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"41",1,1,165,41,"Cebus_albifrons",1.26,0,"ADH","A","A","ADH -> A","allopatry","–","–","–","","",""
"42",1,1,165,42,"Cebus_olivaceus",1.26,0,"ADH","DH","DH","ADH -> DH","allopatry","–","–","–","","",""
"43",1,1,164,43,"Cebus_capucinus",1.66,0,"ADH","A","AFG","ADH -> A","subset_sympatry","A -> AFG","dispersal","0.28","","","d"
"44",1,1,159,44,"Acrecebus_fraileyi",11.77,7.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"45",1,1,171,45,"Saimiri_oerstedii",0.96,0,"ADF","F","F","ADF -> F","allopatry","–","–","–","","",""
"46",1,1,171,46,"Saimiri_sciureus",0.96,0,"ADF","AD","AD","ADF -> AD","allopatry","–","–","–","","",""
"47",1,1,170,47,"Saimiri_ustus",1.12,0,"ADF","A","A","ADF -> A","subset_sympatry","–","–","–","","",""
"48",1,1,169,48,"Saimiri_boliviensis",2.94,0,"AF","A","A","AF -> A","subset_sympatry","–","–","–","","",""
"49",1,1,168,49,"Laventiana_annectens",12.51,12.41,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"50",1,1,167,50,"Neosaimiri_fieldsi",14.01,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"51",1,1,166,51,"Patasola_magdalenae",15.78,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"52",1,1,173,52,"Panamacebus_transitus",20.93,20.83,"AGI","G","G","AGI -> G","allopatry","–","–","–","","",""
"53",1,1,173,53,"Dolichocebus_gaimanensis",20.93,20,"AGI","AI","I","AGI -> AI","allopatry","AI -> I","extinction","20.89","","","e"
"54",1,1,172,54,"Killikaike_blakei",21.09,16.5,"AGI","I","I","AGI -> I","subset_sympatry","–","–","–","","",""
"55",1,1,174,55,"Chilecebus_carrascoensis",22.27,20.09,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"56",1,1,174,56,"Mohanamico_hershkovitzi",22.27,12.5,"AI","A","A","AI -> A","allopatry","–","–","–","","",""
"57",1,1,184,57,"Alouatta_macconnelli",0.06,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"58",1,1,184,58,"Alouatta_seniculus",0.06,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"59",1,1,183,59,"Alouatta_nigerrima",0.68,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"60",1,1,182,60,"Alouatta_sara",1.44,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"61",1,1,181,61,"Alouatta_caraya",3.19,0,"ABG","B","BCE","ABG -> B","allopatry","B -> BCE","dispersal","1.11","","","d"
"62",1,1,185,62,"Alouatta_belzebul",2.53,0,"B","B","D","B -> B","in_situ_speciation","B -> D","dispersal_and_extinction","2.38","","","d"
"63",1,1,185,63,"Alouatta_guariba",2.53,0,"B","B","CE","B -> B","in_situ_speciation","B -> CE","dispersal_and_extinction","2.23","","","d"
"64",1,1,186,64,"Alouatta_palliata",2.47,0,"FG","FG","FG","FG -> FG","subset_sympatry","–","–","–","","",""
"65",1,1,186,65,"Alouatta_pigra",2.47,0,"FG","F","F","FG -> F","subset_sympatry","–","–","–","","",""
"66",1,1,187,66,"Paralouatta_varonai",1.26,1.16,"BDJ","J","J","BDJ -> J","allopatry","–","–","–","","",""
"67",1,1,187,67,"Cartelles_coimbrafilhoi",1.26,0.02,"BDJ","BD","B","BDJ -> BD","allopatry","BD -> B","extinction","0.37","","","e"
"68",1,1,177,68,"Stirtonia_victoriae",12.51,12.41,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"69",1,1,176,69,"Stirtonia_tatacoensis",15.98,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"70",1,1,193,70,"Ateles_belzebuth",1.16,0,"ADG","AD","AD","ADG -> AD","allopatry","–","–","–","","",""
"71",1,1,193,71,"Ateles_geoffroyi",1.16,0,"ADG","G","FG","ADG -> G","allopatry","G -> FG","dispersal","0.31","","","d"
"72",1,1,192,72,"Ateles_hybridus",1.78,0,"ADG","A","AH","ADG -> A","subset_sympatry","A -> AH","dispersal","0.3","","","d"
"73",1,1,191,73,"Ateles_fusciceps",2.26,0,"ADG","G","G","ADG -> G","subset_sympatry","–","–","–","","",""
"74",1,1,194,74,"Ateles_chamek",1.56,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"75",1,1,194,75,"Ateles_paniscus",1.56,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"76",1,1,197,76,"Brachyteles_arachnoides",1.76,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"77",1,1,197,77,"Brachyteles_hypoxanthus",1.76,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"78",1,1,196,78,"Caipora_bambuiorum",1.87,0.02,"BC","B","B","BC -> B","allopatry","–","–","–","","",""
"79",1,1,198,79,"Lagothrix_cana",0.6,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"80",1,1,198,80,"Lagothrix_lagotricha",0.6,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"81",1,1,188,81,"Solimoea_acrensis",12.33,7.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"82",1,1,208,82,"Cacajao_hosomi",1.3,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"83",1,1,208,83,"Cacajao_melanocephalus",1.3,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"84",1,1,207,84,"Cacajao_calvus",3.9,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"85",1,1,209,85,"Chiropotes_chiropotes",1.64,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"86",1,1,209,86,"Chiropotes_utahicki",1.64,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"87",1,1,212,87,"Pithecia_irrorata",1.04,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"88",1,1,212,88,"Pithecia_monachus",1.04,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"89",1,1,211,89,"Pithecia_pithecia",4.29,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"90",1,1,213,90,"Cebupithecia_sarmientoi",13.31,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"91",1,1,213,91,"Nuciruptor_rubricae",13.31,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"92",1,1,204,92,"Proteropithecia_neuquenensis",16.43,15.7,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"93",1,1,203,93,"Soriacebus_ameghinorum",17.29,17,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"94",1,1,202,94,"Mazzonicebus_almendrae",20.01,19.91,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"95",1,1,201,95,"Insulacebus_toussentiana",21.56,0.01,"AI","A","J","AI -> A","allopatry","A -> J","dispersal_and_extinction","8.86","","","d"
"96",1,1,222,96,"Callicebus_hoffmannsi",2.59,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"97",1,1,222,97,"Callicebus_moloch",2.59,0,"A","A","D","A -> A","in_situ_speciation","A -> D","dispersal_and_extinction","1.12","","","d"
"98",1,1,221,98,"Callicebus_cupreus",2.89,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"99",1,1,220,99,"Callicebus_brunneus",3.52,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"100",1,1,223,100,"Callicebus_caligatus",1.68,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"101",1,1,223,101,"Callicebus_donacophilus",1.68,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"102",1,1,225,102,"Callicebus_coimbrai",1.91,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"103",1,1,225,103,"Callicebus_personatus",1.91,0,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"104",1,1,224,104,"Callicebus_nigrifrons",3.52,0,"BCI","BCI","BC","BCI -> BCI","subset_sympatry","BCI -> BC","extinction","2.79","","","e"
"105",1,1,226,105,"Callicebus_lugens",2.57,0,"AB","AB","AD","AB -> AB","subset_sympatry","AB -> AD","dispersal_and_extinction","1.16","","","d"
"106",1,1,226,106,"Callicebus_torquatus",2.57,0,"AB","A","A","AB -> A","subset_sympatry","–","–","–","","",""
"107",1,1,216,107,"Miocallicebus_villaviejai",12.51,12.41,"AI","A","A","AI -> A","subset_sympatry","–","–","–","","",""
"108",1,1,215,108,"Carlocebus_carmenensis",21.51,17,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"109",1,1,214,109,"Homunculus_patagonicus",21.68,16.5,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"110",1,1,199,110,"Szalatavus_attricuspis",26.43,26.33,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"111",1,1,117,111,"Canaanimico_amazonensis",36.01,26.56,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"112",1,1,227,112,"Branisella_boliviana",30.36,26.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"113",1,1,227,113,"Lagonimico_conclucatus",30.36,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"114",1,1,115,114,"Perupithecus_ucayaliensis",39.7,37.5,"AF","A","A","AF -> A","subset_sympatry","–","–","–","","",""
"115",1,1,115,116,"inNode116",39.7,38.42,"AF","AF","AF","AF -> AF","subset_sympatry","–","–","–","","subset (s)",""
"116",1,1,116,117,"inNode117",38.42,36.01,"AF","A","A","AF -> A","subset_sympatry","–","–","–","","sympatry (y)",""
"117",1,1,117,118,"inNode118",36.01,26.83,"A","A","AGI","A -> A","in_situ_speciation","A -> AGI","dispersal","32.26","","subset (s)","d"
"118",1,1,118,119,"inNode119",26.83,25.78,"AGI","AGI","AGI","AGI -> AGI","subset_sympatry","–","–","–","","subset (s)",""
"119",1,1,119,120,"inNode120",25.78,23.61,"AGI","AGI","AGI","AGI -> AGI","subset_sympatry","–","–","–","","subset (s)",""
"120",1,1,120,121,"inNode121",23.61,22.11,"AGI","AGI","AGI","AGI -> AGI","subset_sympatry","–","–","–","","subset (s)",""
"121",1,1,121,122,"inNode122",22.11,21.35,"AGI","A","AB","AGI -> A","subset_sympatry","A -> AB","dispersal","21.36","","subset (s)","d"
"122",1,1,122,123,"inNode123",21.35,17.13,"AB","A","A","AB -> A","subset_sympatry","–","–","–","","sympatry (y)",""
"123",1,1,123,124,"inNode124",17.13,14.4,"A","A","ACD","A -> A","in_situ_speciation","A -> ACD","dispersal","15.65","","subset (s)","d"
"124",1,1,124,125,"inNode125",14.4,13.1,"ACD","ACD","ACD","ACD -> ACD","subset_sympatry","–","–","–","","subset (s)",""
