"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","preparationType","individualCount","coordinatePrecision","geoFlag","scientificNameAuthorship","previousCatalogNumber","typeStatus","relationshipType"
"12","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372799","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","06532","South America","Venezuela","Amazonas","Boca Mavaca, 84 Km SSE Esmeralda","-65.22","2.5",NA,NA,"1966","2","9","138.0",NA,NA,"065 13 -- W","02 30 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"13","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","374771","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","09109","South America","Venezuela","Bolivar","El Manaco, 59 Km SE El Dorado, Km 74","-61.32","6.28",NA,NA,"1966","6","6","150.0",NA,NA,"061 19 -- W","06 17 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"14","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","374772","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","09152","South America","Venezuela","Bolivar","El Manaco, 59 Km SE El Dorado, Km 74","-61.32","6.28",NA,NA,"1966","6","6","150.0",NA,NA,"061 19 -- W","06 17 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"15","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","374773","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","09873","South America","Venezuela","Bolivar","El Manaco, 56 Km SE El Dorado, Km 67","-61.32","6.32",NA,NA,"1966","6","22","150.0",NA,NA,"061 19 -- W","06 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"16","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406608","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","29858","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.47",NA,NA,"1967","7","27","155.0",NA,NA,"06613--W","0528--N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"17","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406609","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19004","South America","Venezuela","Amazonas","Tamatama, Rio Orinoco","-65.82","3.17",NA,NA,"1967","5","11","135.0",NA,NA,"065 49 -- W","03 10 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"18","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","387800","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","04900","South America","Venezuela","Guarico","Hto. Las Palmitas, 35 Km SSW San Juan De Los Morros","-67.45","9.6",NA,NA,"1966","9","4","181.0",NA,NA,"067 27 -- W","09 36 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"19","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","388171","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","12386","South America","Venezuela","Bolivar","Hato San Jose, 20 Km W La Paragua","-63.48","6.82",NA,NA,"1967","3","2","324.0",NA,NA,"063 29 -- W","06 49 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"20","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","388172","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","12434","South America","Venezuela","Bolivar","Hato San Jose, 20 Km W La Paragua","-63.48","6.82",NA,NA,"1967","3","8","324.0",NA,NA,"063 29 -- W","06 49 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"21","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","388178","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","12435","South America","Venezuela","Bolivar","Hato San Jose, 20 Km W La Paragua","-63.48","6.82",NA,NA,"1967","3",NA,"324.0",NA,NA,"063 29 -- W","06 49 -- N","Skull","1",NA,NA,NA,NA,NA,NA
