"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","preparationType","individualCount","coordinatePrecision","geoFlag","scientificNameAuthorship","previousCatalogNumber","typeStatus","relationshipType"
"56","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443750","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42152","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","26","50.0",NA,NA,"072 42 -- W","09 11 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"57","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","499516","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"N. Peterson","NEP 170570-01","South America","Colombia","Antioquia","Zaragoza, 23 Km S, 22 Km W, Near Providencia",NA,NA,NA,"buchshot lodged in left mandible and in nasal passage with bone growth around both of them","1970","5","17","420.0",NA,NA,NA,NA,"Skull; Other","1",NA,NA,NA,NA,NA,NA
"58","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","499517","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"N. Peterson","NEP 170570-02","South America","Colombia","Antioquia","Zaragoza, 23 Km S, 22 Km W, Near Providencia",NA,NA,NA,NA,"1970","5","17","420.0",NA,NA,NA,NA,"Skull; Other","1",NA,NA,NA,NA,NA,NA
"59","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","499518","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"N. Peterson","NEP 030672-01","South America","Colombia","Antioquia","Zaragoza, 26 Km S, 22 Km W, At La Tirana",NA,NA,NA,NA,"1972","6","3","590.0",NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"60","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","499519","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"N. Peterson","NEP 030672-02","South America","Colombia","Antioquia","Zaragoza, 25 Km S, 22 Km W, At La Tirana",NA,NA,NA,NA,"1972","6","3","590.0",NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"61","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","A38484","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"W. Moore","41","South America","Bolivia",NA,"Rio Napo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"62","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406614","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19798","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","2","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"63","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406615","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19799","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","2","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin","1",NA,NA,NA,NA,NA,NA
"64","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406616","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19800","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","2","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"65","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406617","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19803","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","2","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin","1",NA,NA,NA,NA,NA,NA
"66","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406618","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","35773","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","2","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin","1",NA,NA,NA,NA,NA,NA
"67","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406619","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19849","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","2","155.0",NA,NA,"06616--W","0508--N","Skin","1",NA,NA,NA,NA,NA,NA
"68","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406621","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","20094","South America","Venezuela","Falcon","Nr. La Pastora, 11 Km ENE Mirimiri","-68.63","11.2",NA,NA,"1967","11","24","250.0",NA,NA,"068 38 -- W","11 12 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"69","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406622","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","20095","South America","Venezuela","Falcon","Nr. La Pastora, 11 Km ENE Mirimiri","-68.63","11.2",NA,NA,"1967","11","24","250.0",NA,NA,"068 38 -- W","11 12 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"70","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406623","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","20096","South America","Venezuela","Falcon","Nr. La Pastora, 11 Km ENE Mirimiri","-68.63","11.2",NA,NA,"1967","11","24","250.0",NA,NA,"068 38 -- W","11 12 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"71","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406629","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19694","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","6","29","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"72","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443191","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","40421","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","1","31","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"73","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443197","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","23198","South America","Venezuela","Zulia","Nr. Cerro Azul, 33 Km NW La Paz","-72.25","10.85",NA,NA,"1968","6","7","75.0",NA,NA,"072 15 -- W","10 51 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"74","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443198","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","23259","South America","Venezuela","Zulia","Nr. Cerro Azul, 39 Km NW La Paz","-72.3","10.83",NA,NA,"1968","6","8","80.0",NA,NA,"072 18 -- W","10 50 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"75","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443199","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43393","South America","Venezuela","Bolivar","Icabaru, 46 Km NE Icabaru","-61.42","4.55",NA,NA,"1968","4","13","800.0",NA,NA,"061 25 -- W","04 33 -- N","Skin","1",NA,NA,NA,NA,NA,NA
"76","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443200","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43506","South America","Venezuela","Bolivar","Icabaru, 19 Km NE Icabaru","-61.58","4.42",NA,NA,"1968","5","13","658.0",NA,NA,"061 35 -- W","04 25 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"77","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443201","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43507","South America","Venezuela","Bolivar","Icabaru, 19 Km NE Icabaru","-61.58","4.42",NA,NA,"1968","5","13","658.0",NA,NA,"061 35 -- W","04 25 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"78","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443202","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43509","South America","Venezuela","Bolivar","Icabaru, 19 Km NE Icabaru","-61.58","4.42",NA,NA,"1968","5","13","658.0",NA,NA,"061 35 -- W","04 25 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"79","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443204","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43668","South America","Venezuela","Monagas","Hato Mata De Bejuco, 55 Km SSE Maturin","-62.93","9.32",NA,NA,"1968","6","6","18.0",NA,NA,"062 56 -- W","09 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"80","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443205","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43669","South America","Venezuela","Monagas","Hato Mata De Bejuco, 55 Km SSE Maturin","-62.93","9.32",NA,NA,"1968","6","6","18.0",NA,NA,"062 56 -- W","09 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"81","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443206","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43670","South America","Venezuela","Monagas","Hato Mata De Bejuco, 55 Km SSE Maturin","-62.93","9.32",NA,NA,"1968","6","6","18.0",NA,NA,"062 56 -- W","09 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"82","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443376","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","40944","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","2","10","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"83","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443379","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42097","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","23","37.0",NA,NA,"072 42 -- W","09 11 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"84","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443380","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42686","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","4","1","37.0",NA,NA,"072 42 -- W","09 11 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"85","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443381","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42689","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","4","1","37.0",NA,NA,"072 42 -- W","09 11 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"86","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443382","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","43508","South America","Venezuela","Bolivar","Icabaru, 19 Km NE Icabaru","-61.58","4.42",NA,NA,"1968","5","13","658.0",NA,NA,"061 35 -- W","04 25 -- N","Skull","1",NA,NA,NA,NA,NA,NA
"87","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443420","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","40942","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","2","10","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"88","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443423","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","41834","South America","Venezuela","Zulia","El Rosario, 60 Km WNW Encontrados, Boca Del Rio De Oro","-72.77","9.12",NA,NA,"1968","3","17","73.0",NA,NA,"072 46 -- W","09 07 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"89","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443424","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42082","South America","Venezuela","Zulia","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","16","37.0",NA,NA,"072 38 -- W","09 12 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"90","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443425","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","42098","South America","Venezuela","Zulia","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","23","37.0",NA,NA,"072 42 -- W","09 11 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"91","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443494","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","34480","South America","Venezuela","Apure","Nulita, 29 Km SSW Santo Domingo, Selvas De San Camilo","-71.95","7.32",NA,NA,"1968","1","18","24.0",NA,NA,"071 57 -- W","07 19 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"92","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123516","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","82/23343","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1898","7","19",NA,NA,NA,NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA
"93","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123518","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","311","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1899","3","18",NA,NA,NA,NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA
"94","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123519","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","421","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1899","5","3",NA,NA,NA,NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA
"95","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123520","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","23340","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1898","7","18",NA,NA,NA,NA,NA,"Skin","1",NA,NA,NA,NA,NA,NA
"96","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123521","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","No Number","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1899","3",NA,NA,NA,NA,NA,NA,"Skin","1",NA,NA,NA,NA,NA,NA
"97","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123522","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","No Number","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"98","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","216664","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Curran","No Number","South America","Colombia","La Guajira","Puerto Estrella",NA,NA,NA,NA,"1916","5",NA,NA,NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"99","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","241297","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"Nicefero Maria, (Brother)","No Number","South America","Colombia","Meta","Guaicaramo",NA,NA,NA,NA,"1925","7",NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"100","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","241298","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"Nicefero Maria, (Brother)","No Number","South America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"101","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281658","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","52","South America","Colombia","Atlantico","Sabana Larga, Cerro Da La Guayata",NA,NA,NA,NA,"1941","12","12",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"102","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281659","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","53","South America","Colombia","Atlantico","Sabana Larga, Cerro Da La Guayata",NA,NA,NA,NA,"1941","12","12",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"103","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281660","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","54","South America","Colombia","Atlantico","Sabana Larga, Cerro Da La Guayata",NA,NA,NA,NA,"1941","12","12",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"104","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281661","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","55","South America","Colombia","Atlantico","Sabana Larga",NA,NA,NA,NA,"1941","12","12",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"105","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281662","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","56","South America","Colombia","Atlantico","Sabana Larga",NA,NA,NA,NA,"1941","12","12",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"106","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281663","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","67","South America","Colombia","Magdalena","Santa Marta, Colonia Agricola De Caracolicito",NA,NA,NA,NA,"1942","1","16","400.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"107","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281664","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","73","South America","Colombia","Magdalena","Santa Marta, Colonia Agricola De Caracolicito",NA,NA,NA,NA,"1942","1","17","400.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"108","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281665","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","153","South America","Colombia","Magdalena","Santa Marta, Colonia Agricola De Caracolicito",NA,NA,NA,NA,"1942","1","28","400.0",NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"109","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281666","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","228","South America","Colombia","Magdalena","Santa Marta, Colonia Agricola De Caracolicito",NA,NA,NA,NA,"1942","3","7",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"110","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281667","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","396","South America","Colombia","Cesar","El Salado",NA,NA,NA,NA,"1942","7","2",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"111","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281668","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","375","South America","Colombia","Cesar","El Salado",NA,NA,NA,NA,"1942","6","26",NA,NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"112","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281669","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","397","South America","Colombia","Cesar","El Salado",NA,NA,NA,NA,"1942","7","2",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"113","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281670","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","398","South America","Colombia","Cesar","El Salado",NA,NA,NA,NA,"1942","7","2",NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"114","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281671","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","484","South America","Colombia","Cesar","Rio Guaimaral",NA,NA,NA,NA,"1942","8","21",NA,NA,"Valledupar District",NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"115","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281672","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","479","South America","Colombia","Cesar","Rio Guaimaral",NA,NA,NA,NA,"1942","8","20",NA,NA,"Valledupar District",NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"116","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281673","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","576","South America","Colombia","Cesar","Rio Guaimaral",NA,NA,NA,NA,"1942","8","30",NA,NA,"Valledupar District",NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"117","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281674","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"P. Hershkovitz","577","South America","Colombia","Cesar","Rio Guaimaral",NA,NA,NA,NA,"1942","8","21",NA,NA,"Valledupar District",NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
