"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","stateProvince","preparationType","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","typeStatus","county"
"21","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406557","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","26231","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare",NA,NA,NA,NA,"1967","7","12","Amazonas","Skin; Skull","1",NA,NA,"155.0",NA,NA,NA,NA,NA
"22","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406558","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","27884","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","20","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"23","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406559","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","27885","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","20","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"24","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406562","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","31686","South America","Venezuela","Pto. Ayacucho, 14 Km SSE Pto. Ayacucho, El Gavilan","-67.6","5.55",NA,NA,"1967","10","11","Amazonas","Skin; Skull","1","067 36 -- W","05 33 -- N","135.0",NA,NA,NA,NA,NA
"25","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443370","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41635","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"26","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443371","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42085","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","18","Zulia","Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"27","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443372","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42088","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","18","Zulia","Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"28","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443373","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42106","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","23","Zulia","Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"29","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443374","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42170","South America","Venezuela","El Rosario, 57 Km WNW Encontrados, Espana","-72.7","9.18",NA,NA,"1968","3","26","Zulia","Skull","1","072 42 -- W","09 11 -- N","61.0",NA,NA,NA,NA,NA
"30","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443375","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42582","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","18","Zulia","Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"31","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443603","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41308","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","2","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"32","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443604","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41330","South America","Venezuela","El Rosario, 48 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","4","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","54.0",NA,NA,NA,NA,NA
"33","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443605","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41566","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"34","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443606","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41567","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"35","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443607","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41568","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"36","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443608","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41569","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"37","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443609","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41634","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","7","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"38","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443610","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41799","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","12","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"39","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443611","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41840","South America","Venezuela","El Rosario, 60 Km WNW Encontrados, Boca Del Rio De Oro","-72.77","9.12",NA,NA,"1968","3","17","Zulia","Skin; Skull","1","072 46 -- W","09 07 -- N","73.0",NA,NA,NA,NA,NA
"40","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443612","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42072","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","16","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"41","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443613","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42073","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","16","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
"42","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443623","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42558","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","29","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"43","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443624","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42563","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","29","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"44","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443625","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42571","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","30","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"45","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443733","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","22205","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","2","10","Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"46","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443734","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","22206","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","2","10","Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"47","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443735","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","22791","South America","Venezuela","Novito, 19 Km WSW Machiques",NA,NA,NA,NA,"1968","5","4","Zulia","Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443736","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24229","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"49","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443737","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24230","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"50","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443738","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24231","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"51","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443739","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24232","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"52","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443741","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24234","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"53","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443742","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","24270","South America","Venezuela","Las Mesas, 17 Km NE San Juan De Colon","-72.17","8.17",NA,NA,"1968","4",NA,"Tachira","Skin; Skull","1","072 10 -- W","08 10 -- N","460.0",NA,NA,NA,NA,NA
"54","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443743","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41298","South America","Venezuela","El Rosario, 48 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","1","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","54.0",NA,NA,NA,NA,NA
"55","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443744","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41299","South America","Venezuela","El Rosario, 48 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","1","Zulia","Skin; Skull","1","072 38 -- W","09 12 -- N","54.0",NA,NA,NA,NA,NA
"56","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443745","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41303","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","1","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"57","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","443746","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41306","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3","2","Zulia","Skin; Skull","1","072 42 -- W","09 11 -- N","37.0",NA,NA,NA,NA,NA
"58","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","449467","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,"IT 41","South America","Venezuela","Mision Tukuko",NA,NA,NA,NA,"1986","7","17","Zulia","Skin; Skull; Skeleton","1",NA,NA,"200.0","400.0",NA,NA,NA,NA
"59","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","456550","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","42086","South America","Venezuela","El Rosario, 45 Km WNW Encontrados","-72.63","9.2",NA,NA,"1968","3","18","Zulia","Skull","1","072 38 -- W","09 12 -- N","37.0",NA,NA,NA,NA,NA
