"","starting_range","ending_range","average_n_events","SD","transition_type"
"178","A","A","93.25","9.571","in situ speciation"
"2290","AD","A","10.72","2.03","vicariance or subset sympatry or extinction"
"2293","AD","D","8.6","1.271","vicariance or subset sympatry or extinction"
"190","A","AD","8.57","1.622","dispersal"
"3170","AI","A","7.24","1.897","vicariance or subset sympatry or extinction"
"3178","AI","I","6.93","1.622","vicariance or subset sympatry or extinction"
"709","D","D","6.56","1.305","in situ speciation"
"532","C","C","6.28","2.089","in situ speciation"
"2302","AD","AD","5.51","2.091","wide sympatry or subset sympatry"
"1594","I","I","5.38","3.536","in situ speciation"
"3187","AI","AI","4.8","2.361","wide sympatry or subset sympatry"
"1771","J","J","3.72","1.064","in situ speciation"
"5108","CE","C","3.48","0.948","vicariance or subset sympatry or extinction"
"195","A","AI","3.19","1.433","dispersal"
"5110","CE","E","3.07","0.671","vicariance or subset sympatry or extinction"
"2833","AG","AG","2.86","1.511","wide sympatry or subset sympatry"
"2114","AC","A","2.78","1.867","vicariance or subset sympatry or extinction"
"193","A","AG","2.66","1.075","dispersal"
"2116","AC","C","2.39","1.254","vicariance or subset sympatry or extinction"
"16462","BCE","BCE","2.32","1.118","wide sympatry or subset sympatry"
"2824","AG","G","2.07","1.008","vicariance or subset sympatry or extinction"
"2818","AG","A","2.02","1.491","vicariance or subset sympatry or extinction"
"558","C","CE","1.96","1.091","dispersal"
"189","A","AC","1.87","1.125","dispersal"
"2125","AC","AC","1.65","1.513","wide sympatry or subset sympatry"
"12922","ADG","ADG","1.53","1.573","wide sympatry or subset sympatry"
"1063","F","F","1.5","0.87","in situ speciation"
"1938","AB","A","1.35","1.14","vicariance or subset sympatry or extinction"
"194","A","AH","1.34","0.497","dispersal"
"234","A","ABD","1.18","0.626","dispersal"
"1603","I","AI","1.17","1.064","dispersal"
"5134","CE","CE","1.09","0.986","wide sympatry or subset sympatry"
"250","A","ADG","1.06","0.827","dispersal"
"188","A","AB","1.05","0.892","dispersal"
"1939","AB","B","1.05","0.833","vicariance or subset sympatry or extinction"
"12856","ADG","G","1.03","0.989","vicariance or subset sympatry or extinction"
"16371","BCE","B","1.02","0.2","vicariance or subset sympatry or extinction"
"10046","ABD","AD","0.94","0.547","vicariance or subset sympatry or extinction"
"10035","ABD","B","0.93","0.537","vicariance or subset sympatry or extinction"
"11442","ACE","A","0.9","0.99","vicariance or subset sympatry or extinction"
"12850","ADG","A","0.9","1.049","vicariance or subset sympatry or extinction"
"1279","G","FG","0.89","0.618","dispersal"
"549","C","BC","0.88","0.356","dispersal"
"259","A","AFG","0.87","0.544","dispersal"
"1103","F","FG","0.87","0.442","dispersal"
"2642","AF","A","0.84","0.94","vicariance or subset sympatry or extinction"
"910","E","CE","0.83","0.739","dispersal"
"11470","ACE","CE","0.8","0.829","vicariance or subset sympatry or extinction"
"12674","ADF","A","0.78","0.96","vicariance or subset sympatry or extinction"
"12679","ADF","F","0.78","0.629","vicariance or subset sympatry or extinction"
"12745","ADF","ADF","0.77","0.93","wide sympatry or subset sympatry"
"16372","BCE","C","0.77","0.723","vicariance or subset sympatry or extinction"
"12686","ADF","AD","0.76","0.605","vicariance or subset sympatry or extinction"
"2466","AE","A","0.72","0.954","vicariance or subset sympatry or extinction"
"13026","ADH","A","0.71","1.018","vicariance or subset sympatry or extinction"
"5198","CE","BCE","0.67","0.62","dispersal"
"14434","AFG","A","0.67","1.155","vicariance or subset sympatry or extinction"
"16374","BCE","E","0.67","0.493","vicariance or subset sympatry or extinction"
"2470","AE","E","0.66","0.819","vicariance or subset sympatry or extinction"
"9858","ABC","A","0.66","0.913","vicariance or subset sympatry or extinction"
"242","A","ACE","0.64","0.785","dispersal"
"14515","AFG","AFG","0.6","1.137","wide sympatry or subset sympatry"
"192","A","AF","0.58","0.606","dispersal"
"4755","BJ","B","0.57","0.498","vicariance or subset sympatry or extinction"
"12862","ADG","AD","0.57","0.517","vicariance or subset sympatry or extinction"
"249","A","ADF","0.56","0.608","dispersal"
"1948","AB","AB","0.56","0.783","wide sympatry or subset sympatry"
"2994","AH","A","0.56","0.82","vicariance or subset sympatry or extinction"
"4763","BJ","J","0.56","0.499","vicariance or subset sympatry or extinction"
"206","A","CE","0.54","0.54","dispersal and extinction"
"9877","ABC","BC","0.51","0.611","vicariance or subset sympatry or extinction"
"622","C","BCE","0.49","0.628","dispersal"
"718","D","AD","0.49","0.732","dispersal"
"2647","AF","F","0.49","0.541","vicariance or subset sympatry or extinction"
"2479","AE","AE","0.47","0.904","wide sympatry or subset sympatry"
"9860","ABC","C","0.47","0.703","vicariance or subset sympatry or extinction"
"2890","AG","ADG","0.46","0.61","dispersal"
"3346","AJ","A","0.45","0.936","vicariance or subset sympatry or extinction"
"4933","CD","D","0.45","0.5","vicariance or subset sympatry or extinction"
"8986","GI","I","0.44","0.556","vicariance or subset sympatry or extinction"
"191","A","AE","0.43","0.59","dispersal"
"3524","BC","C","0.43","0.685","vicariance or subset sympatry or extinction"
