"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"1",1,1,133,1,"Mico_emiliae",0.79,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2",1,1,133,2,"Mico_humeralifer",0.79,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"3",1,1,132,3,"Mico_mauesi",1.56,0.01,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"4",1,1,131,4,"Mico_argentatus",2.75,0.02,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"5",1,1,130,5,"Cebuella_pygmaea",5.7,0.03,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6",1,1,137,6,"Callithrix_jacchus",0.9,0,"BCE","B","B","BCE -> B","subset_sympatry","–","–","–","","",""
"7",1,1,137,7,"Callithrix_penicillata",0.9,0,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","",""
"8",1,1,136,8,"Callithrix_kuhlii",1.49,0.01,"BCE","E","E","BCE -> E","subset_sympatry","–","–","–","","",""
"9",1,1,135,9,"Callithrix_geoffroyi",1.89,0.02,"BCE","C","C","BCE -> C","subset_sympatry","–","–","–","","",""
"10",1,1,134,10,"Callithrix_aurita",5.94,0.03,"BC","C","C","BC -> C","subset_sympatry","–","–","–","","",""
"11",1,1,128,11,"Micodon_kyotensis",12.56,12.46,"AC","A","A","AC -> A","subset_sympatry","–","–","–","","",""
"12",1,1,127,12,"Callimico_goeldii",14.12,0.06,"AC","A","A","AC -> A","subset_sympatry","–","–","–","","",""
"13",1,1,139,13,"Leontopithecus_chrysopygus",0.19,0.05,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"14",1,1,139,14,"Leontopithecus_rosalia",0.19,0.05,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"15",1,1,138,15,"Leontopithecus_chrysomelas",0.65,0.06,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"16",1,1,144,16,"Saguinus_bicolor",3.15,0.03,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"17",1,1,144,17,"Saguinus_martinsi",3.15,0.03,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"18",1,1,143,18,"Saguinus_midas",4.96,0.04,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"19",1,1,145,19,"Saguinus_geoffroyi",1.54,0.04,"AG","G","G","AG -> G","subset_sympatry","–","–","–","","",""
"20",1,1,145,20,"Saguinus_oedipus",1.54,0.04,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"21",1,1,147,21,"Saguinus_labiatus",1.43,0.04,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"22",1,1,147,22,"Saguinus_mystax",1.43,0.04,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"23",1,1,146,23,"Saguinus_imperator",2.3,0.05,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"24",1,1,150,24,"Saguinus_fuscicollis",1.76,0.04,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"25",1,1,150,25,"Saguinus_tripartitus",1.76,0.04,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"26",1,1,149,26,"Saguinus_melanoleucus",2.36,0.05,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"27",1,1,148,27,"Saguinus_nigricollis",3.96,0.06,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"28",1,1,156,28,"Aotus_griseimembra",1.98,0.03,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"29",1,1,156,29,"Aotus_lemurinus",1.98,0.03,"AG","G","ADG","AG -> G","subset_sympatry","G -> ADG","dispersal","1.95","","","d"
"30",1,1,155,30,"Aotus_vociferans",3.69,0.04,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"31",1,1,154,31,"Aotus_trivirgatus",3.94,0.05,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"32",1,1,158,32,"Aotus_azarae",1.9,0.04,"ABD","ABD","ABD","ABD -> ABD","subset_sympatry","–","–","–","","",""
"33",1,1,158,33,"Aotus_nigriceps",1.9,0.04,"ABD","A","A","ABD -> A","subset_sympatry","–","–","–","","",""
"34",1,1,157,34,"Aotus_nancymaae",4.56,0.05,"AB","A","A","AB -> A","subset_sympatry","–","–","–","","",""
"35",1,1,152,35,"Aotus_dindensis",12.58,12.48,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"36",1,1,151,36,"Tremacebus_harringtoni",20.09,19.99,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"37",1,1,166,37,"Sapajus_apella",0.82,0.02,"ABD","AD","AD","ABD -> AD","allopatry","–","–","–","","",""
"38",1,1,166,38,"Sapajus_libidinosus",0.82,0.02,"ABD","B","B","ABD -> B","allopatry","–","–","–","","",""
"39",1,1,167,39,"Sapajus_robustus",1.82,0.02,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"40",1,1,167,40,"Sapajus_xanthosternos",1.82,0.02,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"41",1,1,169,41,"Cebus_albifrons",1.74,0.02,"AH","A","A","AH -> A","allopatry","–","–","–","","",""
"42",1,1,169,42,"Cebus_olivaceus",1.74,0.02,"AH","H","DH","AH -> H","allopatry","H -> DH","dispersal","1.47","","","d"
"43",1,1,168,43,"Cebus_capucinus",2.02,0.03,"AH","A","AFG","AH -> A","subset_sympatry","A -> AFG","dispersal","0.68","","","d"
"44",1,1,163,44,"Acrecebus_fraileyi",9.82,7.55,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"45",1,1,162,45,"Patasola_magdalenae",12.57,12.47,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"46",1,1,174,46,"Saimiri_oerstedii",1.73,0.02,"ADF","F","F","ADF -> F","allopatry","–","–","–","","",""
"47",1,1,174,47,"Saimiri_sciureus",1.73,0.02,"ADF","AD","AD","ADF -> AD","allopatry","–","–","–","","",""
"48",1,1,173,48,"Saimiri_ustus",2.09,0.03,"ADF","A","A","ADF -> A","subset_sympatry","–","–","–","","",""
"49",1,1,172,49,"Saimiri_boliviensis",2.66,0.04,"ADF","A","A","ADF -> A","subset_sympatry","–","–","–","","",""
"50",1,1,171,50,"Neosaimiri_fieldsi",12.61,12.51,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"51",1,1,170,51,"Laventiana_annectens",14.31,12.56,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"52",1,1,160,52,"Dolichocebus_gaimanensis",20.26,20.08,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"53",1,1,175,53,"Panamacebus_transitus",21.29,21.01,"GI","G","G","GI -> G","allopatry","–","–","–","","",""
"54",1,1,175,54,"Killikaike_blakei",21.29,16.58,"GI","I","I","GI -> I","allopatry","–","–","–","","",""
"55",1,1,122,55,"Chilecebus_carrascoensis",23.86,20.2,"I","I","I","I -> I","in_situ_speciation","–","–","–","","",""
"56",1,1,186,56,"Alouatta_macconnelli",0.07,0.01,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"57",1,1,186,57,"Alouatta_seniculus",0.07,0.01,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"58",1,1,185,58,"Alouatta_nigerrima",0.46,0.02,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"59",1,1,184,59,"Alouatta_sara",1.86,0.03,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"60",1,1,183,60,"Alouatta_caraya",3.49,0.04,"AB","B","BCE","AB -> B","allopatry","B -> BCE","dispersal","1.89","","","d"
"61",1,1,187,61,"Alouatta_belzebul",3.11,0.04,"CD","D","D","CD -> D","allopatry","–","–","–","","",""
"62",1,1,187,62,"Alouatta_guariba",3.11,0.04,"CD","C","CE","CD -> C","allopatry","C -> CE","dispersal","2.6","","","d"
"63",1,1,188,63,"Alouatta_palliata",2.39,0.05,"F","F","FG","F -> F","in_situ_speciation","F -> FG","dispersal","0.29","","","d"
"64",1,1,188,64,"Alouatta_pigra",2.39,0.05,"F","F","F","F -> F","in_situ_speciation","–","–","–","","",""
"65",1,1,180,65,"Stirtonia_victoriae",12.79,12.57,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"66",1,1,179,66,"Stirtonia_tatacoensis",15.17,12.58,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"67",1,1,189,67,"Paralouatta_varonai",17.66,1.33,"IJ","J","J","IJ -> J","allopatry","–","–","–","","",""
"68",1,1,189,68,"Cartelles_coimbrafilhoi",17.66,0.1,"IJ","I","B","IJ -> I","allopatry","I -> B","dispersal_and_extinction","10.58","","","d"
"69",1,1,195,69,"Ateles_belzebuth",1.63,0.04,"ADG","AD","AD","ADG -> AD","allopatry","–","–","–","","",""
"70",1,1,195,70,"Ateles_geoffroyi",1.63,0.04,"ADG","G","FG","ADG -> G","allopatry","G -> FG","dispersal","0.39","","","d"
"71",1,1,194,71,"Ateles_hybridus",2.31,0.05,"ADG","A","AH","ADG -> A","subset_sympatry","A -> AH","dispersal","0.45","","","d"
"72",1,1,193,72,"Ateles_fusciceps",2.49,0.06,"ADG","G","G","ADG -> G","subset_sympatry","–","–","–","","",""
"73",1,1,196,73,"Ateles_chamek",1.32,0.06,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"74",1,1,196,74,"Ateles_paniscus",1.32,0.06,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"75",1,1,199,75,"Lagothrix_cana",0.43,0.05,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"76",1,1,199,76,"Lagothrix_lagotricha",0.43,0.05,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"77",1,1,198,77,"Caipora_bambuiorum",4.03,0.08,"AB","B","B","AB -> B","allopatry","–","–","–","","",""
"78",1,1,200,78,"Brachyteles_arachnoides",2.98,0.06,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
