"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","sex","occurrenceRemarks","preparationType","individualCount","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","previousCatalogNumber"
"14","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","1152","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Iaco; Rio Iaco","-68.725","-9.25",NA,NA,NA,"Dissertação: A caça de subsistência de extrativistas na Amazônia: sustentabilidade- biodiversidade e extinção de espécies - Martins E. 1993",NA,NA,"Sena Madureira","-68.725","-9.25",NA,NA,NA
"15","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8129","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor; Rio Juruá Mirim","-73.6","-7.45",NA,NA,NA,"Artigo: Observations of Callimico goeldii with Saguinus imperator in the Serra do Divisor National Park, Acre, Barzil - Lopes M.A.O.A. - Rehg J.A. 2003",NA,NA,NA,"-73.6","-7.45",NA,NA,NA
"16","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","855","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Estrada antiga para Porto Acre- km 12",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"17","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","865","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringal Boca da Pedra; Cabeceira do Rio Tarauacá- margem esquerda",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"18","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3354","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Branco; Rioa Acre","-67.8","-9.96666666666667",NA,NA,NA,"Monografia: Levantamento de Animais Silvestres em Cativeiro na Cidade de Rio Branco - Acre. - Silva M.F.A 1985",NA,NA,"Rio Branco","-67.8","-9.96666666666667",NA,NA,NA
"19","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","29","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Margem direita do Rio Juruá - Ponto 1; Rio Juruá","-72.735","-9.42",NA,NA,NA,"Artigo: Notes on the primates of the Juruá River- western Brasilian Amazonia - Peres C.A. 1993",NA,NA,NA,"-72.735","-9.42",NA,NA,NA
"20","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","858","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena Mamoadate; Alto Rio Iaco",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"21","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","846","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-10- Ramal do Mutum (4 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"22","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","845","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-10- km 42- ramal do Bujari",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"23","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","839","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 52- ramal lado direito (9 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco/Sena Madureira","0.0","0.0",NA,NA,NA
"24","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","836","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 61- ramal lado direito",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"25","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","859","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena São Lourenço; Cabeceira do rio Acre",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"26","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","6988","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Trilha Pincel","-68.8611111111111","-10.4258333333333",NA,NA,NA,"Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999",NA,NA,NA,"-68.8611111111111","-10.4258333333333",NA,NA,NA
"27","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","7075","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Trilha Itapissuma","-68.8602777777778","-10.4569444444444",NA,NA,NA,"Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999",NA,NA,NA,"-68.8602777777778","-10.4569444444444",NA,NA,NA
"28","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","830","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Jurupari; Rio Jurupari- margem direita",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"29","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","861","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra indígena Caucho; Cabeceira do Rio Muru",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"30","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","380","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,"Livro: The pictorial guide to the living primates - Rowe N.- Goodall J. - Mittermeier R.A. 1996",NA,NA,NA,"0.0","0.0",NA,NA,NA
"31","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","30","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Margem esquerda do Rio Juruá - Ponto 2; Rio Juruá","-72.725","-9.41333333333333",NA,NA,NA,"Artigo: Notes on the primates of the Juruá River- western Brasilian Amazonia - Peres C.A. 1993",NA,NA,NA,"-72.725","-9.41333333333333",NA,NA,NA
"32","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","848","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-90- km 72; Riozinho do Andirá",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"33","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","17","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Universidade Federal do Acre/Parque Zoobotânico; Rio Acre","-67.8688888888889","-9.94166666666667",NA,NA,NA,"Relatório: Percepção- cognição e aprendizagem associados ao forrageamento por primatas neotropicais noturnos e diurnos - Bicca-Marques J.C. 1997",NA,NA,"Rio Branco","-67.8688888888889","-9.94166666666667",NA,NA,NA
"34","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","856","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena Kaxinawá; Alto Purus","-71.9","-9.31666666666667",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"-71.9","-9.31666666666667",NA,NA,NA
"35","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","4408","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","América do Sul- Acre",NA,NA,NA,NA,NA,"Livro: Primatas do Brasil - Auricchio P. 1995",NA,NA,NA,"0.0","0.0",NA,NA,NA
"36","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","862","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena Mantinere; Rio Iaco",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"37","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","1138","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena Kampa do Rio Envira; Rio Envira","-71.6638888888889","-9.52305555555555",NA,NA,NA,"Relatório: Análise ambiental complementar sobre a terra indígena Kampa e isolados do Rio Envira - Ferreira L.A. 1996",NA,NA,"Feijó","-71.6638888888889","-9.52305555555555",NA,NA,NA
"38","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","828","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Envira; Rio Envira- margem esquerda",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"39","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","825","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","BR-317- km 80",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco/Xapuri","0.0","0.0",NA,NA,NA
"40","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","4397","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","América do Sul- Acre",NA,NA,NA,NA,NA,"Livro: Neotropical rainforest mammals. A field guide, second edition - Emmons L.H. - Feer F. 1997",NA,NA,NA,"0.0","0.0",NA,NA,NA
"41","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8215","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"-72.8166666666667","-8.36666666666667",NA,NA,NA,"Artigo: Primate community structure at twenty western Amazonian flooded and unflooded forests - Peres C.A. 1997",NA,NA,NA,"-72.8166666666667","-8.36666666666667",NA,NA,NA
