"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","sex","occurrenceRemarks","preparationType","individualCount","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","previousCatalogNumber"
"52","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8414","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Universidade Federal do Acre/Parque Zoobotânico; Rioa Acre","-67.8688888888889","-9.94166666666667",NA,NA,NA,"Artigo: Do female tamarins use visual cues to detect fruit rewards more successfully than do males? - Dominy N.J.- Garber P.A.- Bicca-Marques J.C. - Lopes M.A.O. 2003",NA,NA,"Rio Branco","-67.8688888888889","-9.94166666666667",NA,NA,NA
"53","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","829","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Envira; Rio Envira- margm direita",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"54","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8205","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"-72.7833333333333","-8.66666666666667",NA,NA,NA,"Artigo: Primate community structure at twenty western Amazonian flooded and unflooded forests - Peres C.A. 1997",NA,NA,NA,"-72.7833333333333","-8.66666666666667",NA,NA,NA
"55","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","864","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringal Ocidente; Cabeceira do Rio Muru- margem esquerda",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"56","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","847","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-90- km 55; Riozinho do Andirá",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"57","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","849","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-90- km 73- lado direito",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"58","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","212","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Iaco; Rio Iaco","-68.725","-9.25",NA,NA,NA,"Relatório: Caracterização da fauna da bacia do Rio Branco/ Acre - Alho C.J.R. 1990",NA,NA,NA,"-68.725","-9.25",NA,NA,NA
"59","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","834","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 49- ramal Novo Horizonte (4 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"60","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","597","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Bairro Procon; Rioa Acre","-67.8","-9.96666666666667",NA,NA,NA,"Monografia: Levantamento preliminar de primatas cadastrados pelo IBAMA no município de Rio Branco - AC - Nóbrega M.F. 1997",NA,NA,"Rio Branco","-67.8","-9.96666666666667",NA,NA,NA
"61","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","850","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-40- ramal Mendes Carlos I",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"62","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8514","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringal São Salvador; Rio Moa","-73.2666666666667","-7.38333333333333",NA,NA,NA,"Livro: A fauna silvestre e as práticas de caça - Fragoso J.M.V- Santos M.C.- Nascimento V.M.L 2002",NA,NA,"Mâncio Lima","-73.2666666666667","-7.38333333333333",NA,NA,NA
"63","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","841","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-317- km 67- ramal lado esquerdo (4 km); Rio Xipamanu",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"64","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","7017","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Trilha Venezuela","-68.8611111111111","-10.3969444444444",NA,NA,NA,"Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999",NA,NA,NA,"-68.8611111111111","-10.3969444444444",NA,NA,NA
"65","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","7046","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Trilha Bom Levar","-68.8563888888889","-10.5397222222222",NA,NA,NA,"Não publicado: A caça de Subsistência na Reserva Extrativista Chico Mendes/AC: caracterização- consumo e estratégias de caça. - Medeiros M.F.S.T. 1999",NA,NA,NA,"-68.8563888888889","-10.5397222222222",NA,NA,NA
"66","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","863","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringal República; Rio Moa","-72.6699981689453","-7.63111019134521",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Cruzeiro do Sul","0.0","0.0","123037","auto",NA
"67","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","869","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Mâncio Lima","-72.8957977294922","-7.61417007446289",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Mâncio Lima","0.0","0.0","120292","auto",NA
"68","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","868","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Manoel Urbano","-69.2596969604492","-8.83889007568359",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Manoel Urbano","0.0","0.0","223192","auto",NA
"69","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","851","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-401- km 6- ramal lado esquerdo (1 km)","-67.1856002807617","-10.3353004455566",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Plácido de Castro","0.0","0.0","56619","auto",NA
"70","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","224","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"-67.8099975585938","-9.9747200012207",NA,NA,NA,"Relatório: Caracterização da fauna da bacia do Rio Branco/ Acre - Alho C.J.R. 1990",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"71","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","852","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Estrada Dias Martins- km 12- lado esquerdo; Rioa Acre","-67.8099975585938","-9.9747200012207",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"72","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","853","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Estrada Dias Martins- km 13- ramal lado direito (2 km); Rio Acre","-67.8099975585938","-9.9747200012207",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"73","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","826","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Estrada do Mutum; Rioa Acre","-67.8099975585938","-9.9747200012207",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"74","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","866","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Localidade Quixadá; Rioa Acre","-67.8099975585938","-9.9747200012207",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"75","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8329","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Rio Branco (Estrada de Porto Acre); Rioa Acre","-67.8099975585938","-9.9747200012207",NA,NA,NA,"Artigo: Malária simiana no Estado do Acre, Brasil: Encontro de macacos zogue-zogue, Callicebus moloch cupreus, infetados com Plasmodium brasilianum - Ferreira Neto J.A.- Deane L.M. - Almeida F.B. 1972",NA,NA,"Rio Branco","0.0","0.0","178770","auto",NA
"76","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","867","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Sena Madureira","-68.6568984985352","-9.06556034088135",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Sena Madureira","0.0","0.0","278222","auto",NA
"77","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8335","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringal Ouro","-68.6568984985352","-9.06556034088135",NA,NA,NA,"Artigo: Malária simiana no Estado do Acre, Brasil: Encontro de macacos zogue-zogue, Callicebus moloch cupreus, infetados com Plasmodium brasilianum - Ferreira Neto J.A.- Deane L.M. - Almeida F.B. 1972",NA,NA,"Sena Madureira","0.0","0.0","278222","auto",NA
"78","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","857","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena; Rio Gregório","-70.7656021118164","-8.16139030456543",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Tarauacá","0.0","0.0","171116","auto",NA
"79","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","8341","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Seringais Macuripe e Nova Vida","-68.5044021606445","-10.6517000198364",NA,NA,NA,"Artigo: Malária simiana no Estado do Acre, Brasil: Encontro de macacos zogue-zogue, Callicebus moloch cupreus, infetados com Plasmodium brasilianum - Ferreira Neto J.A.- Deane L.M. - Almeida F.B. 1972",NA,NA,"Xapuri","0.0","0.0","103965","auto",NA
"80","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3959","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-73.7744444444444","-7.45888888888889",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-73.7744444444444","-7.45888888888889",NA,NA,NA
"81","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","525","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-73.7013888888889","-7.50611111111111",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-73.7013888888889","-7.50611111111111",NA,NA,NA
"82","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","400","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-73.7013888888889","-7.50611111111111",NA,NA,NA,"Livro: The status of conservation areas in the Brasilian Amazon - Rylands A.B. 1991",NA,NA,"Cruzeiro do Sul","-73.7013888888889","-7.50611111111111",NA,NA,NA
"83","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3960","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-73.6611111111111","-7.43166666666667",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-73.6611111111111","-7.43166666666667",NA,NA,NA
"84","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3961","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-73.2766666666667","-7.55666666666667",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-73.2766666666667","-7.55666666666667",NA,NA,NA
"85","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3962","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-72.8833333333333","-8.55833333333333",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-72.8833333333333","-8.55833333333333",NA,NA,NA
"86","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3963","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-72.8577777777778","-8.40527777777778",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-72.8577777777778","-8.40527777777778",NA,NA,NA
"87","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","3964","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor","-72.7819444444444","-8.87527777777778",NA,NA,NA,"Artigo : Riqueza de mamíferos de grande e médio porte do Parque Nacional da Serra do Divisor (Acre, Brasil) - Calouro A.M. 1999",NA,NA,"Cruzeiro do Sul","-72.7819444444444","-8.87527777777778",NA,NA,NA
"88","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","654","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Ambiental Chico Mendes; Rioa Acre","-67.5833333333333","-10.1333333333333",NA,NA,NA,"Relatório: Enriquecimento de capoeiras com espécies vegetais utilizadas por primatas - Silva M.C.R. 1998",NA,NA,"Rio Branco","-67.5833333333333","-10.1333333333333",NA,NA,NA
"89","2017-03-30 08:55:31-03","UFMG-ICB","UFMG-BDT","MM000743","S","Animalia","Craniata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"José Eustáquio do Santos Júnior","JEN055","2011","12",NA,"América do Sul","Brasil","Rondônia","Margem direita do Rio Madeira","-63.9039001464844","-8.76194000244141",NA,NA,"s/ID",NA,"Pele/Pelo",NA,"Porto Velho",NA,NA,"333357","auto","M001552"
"90","2017-03-30 08:55:31-03","UFMG-ICB","UFMG-BDT","MM000737","S","Animalia","Craniata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"José Eustáquio do Santos Júnior","JEN008","2011","12",NA,"América do Sul","Brasil","Rondônia","Margem esquerda do Rio Madeira","-63.9039001464844","-8.76194000244141",NA,NA,"s/ID",NA,"Carcaça",NA,"Porto Velho",NA,NA,"333357","auto","M001546"
