"","SUM_A","SUM_B","SUM_C","SUM_D","SUM_E","SUM_F","SUM_G","SUM_H","SUM_I","SUM_J","LTT"
"0",44,6,12,19.96,7,5,8,1.98,0,0,82
"1",40.24,6.7,10.84,17.56,6.64,4.36,6,1.38,0.02,1.04,74.5
"2",35.1,5.36,9.68,14.34,5.64,3.44,3.72,0.7,0.06,2.04,62.1
"3",28.3,4.44,8.84,10.84,4.42,2.26,2.32,0.4,0.08,2.04,48.3
"4",22.46,3.78,7.42,7.86,3.2,1.88,1.72,0.3,0.08,2.02,36.5
"5",19.04,3.22,5.58,6.12,2.42,1.74,1.48,0.26,0.08,1.98,29.9
"6",16.88,2.92,4.68,5.1,2.1,1.56,1.16,0.22,0.1,1.8,25.4
"7",15.84,2.24,4.18,4.36,1.92,1.16,1,0.14,0.12,1.76,22.1
"8",16.48,2.04,3.64,3.6,1.64,1,0.8,0.12,0.16,1.68,21.5
"9",15.76,1.9,3.3,2.96,1.44,0.8,0.6,0.1,0.18,1.5,20
"10",14.78,1.58,2.7,2.34,1.32,0.68,0.44,0.12,0.22,1.46,18.3
"11",14.02,1.24,2.14,2.02,1.02,0.54,0.38,0.1,0.26,1.2,16.9
"12",13.66,0.8,1.66,1.42,0.8,0.34,0.24,0.1,0.28,0.96,15.8
"13",20.34,0.54,1.36,1.04,0.72,0.24,0.18,0.08,0.32,0.9,22
"14",18.44,0.5,1.16,0.94,0.58,0.22,0.18,0.08,0.34,0.88,20
"15",16.7,0.34,0.86,0.68,0.4,0.12,0.14,0.06,0.46,0.76,18.1
"16",15.1,0.32,0.72,0.54,0.3,0.08,0.1,0.04,1.48,0.76,17.1
"17",13.28,0.24,0.56,0.36,0.24,0.06,0.08,0.02,5.34,0.74,17.6
"18",11.88,0.12,0.4,0.22,0.12,0.06,0.04,0.04,4.36,0.66,14.7
"19",10.76,0.06,0.26,0.16,0.1,0.06,0.02,0.04,4.16,0.58,13.4
"20",9.38,0.04,0.18,0.12,0.08,0.04,0.02,0.06,7.44,0.52,15.3
"21",8.2,0.04,0.16,0.08,0.06,0.02,1.02,0.06,5.54,0.42,11.8
"22",7.38,0.02,0.1,0.04,0.02,0.02,0.9,0.06,4.62,0.38,10.3
"23",6.46,0.02,0.1,0.04,0.02,0.02,0.64,0.06,3.44,0.3,8.4
"24",5.26,0.02,0.1,0.04,0.02,0,0.42,0.04,2.44,0.28,6.6
"25",4.2,0.02,0.08,0.04,0,0,0.24,0.04,1.9,0.18,5.1
"26",3.64,0.02,0.08,0.04,0,0,0.12,0.04,1.64,0.16,4.4
"27",5.24,0.02,0.08,0.04,0,0,0.1,0.02,1.22,0.14,5.8
"28",4.1,0.02,0.08,0.04,0,0,0.08,0.02,0.9,0.1,4.5
"29",3.14,0.02,0.08,0.04,0,0,0.08,0,0.82,0.1,3.5
"30",2.72,0,0.04,0.04,0.02,0,0.08,0,0.62,0.1,2.9
"31",2.46,0,0.04,0.02,0.02,0.02,0.08,0,0.54,0.1,2.6
"32",2.22,0,0.04,0.02,0.02,0.02,0.08,0,0.46,0.1,2.3
"33",1.92,0,0.04,0.02,0.02,0.02,0.08,0,0.42,0.1,2
"34",1.58,0,0.04,0.04,0.02,0.02,0.08,0,0.4,0.08,1.6
"35",1.48,0,0.04,0.04,0.02,0.02,0.08,0,0.4,0.1,1.5
"36",1.38,0.02,0.06,0.04,0.02,0.04,0.08,0,0.38,0.08,1.4
"37",1.38,0.02,0.06,0.06,0.02,0.04,0.06,0,0.38,0.08,1.4
"38",2.56,0.04,0,0.04,0.04,0.04,0.08,0,0.32,0.08,2.6
"39",2,0.05,0,0.05,0.1,0.05,0.1,0,0.3,0.05,2
"40",2,0,0,0,0,0.1,0,0.1,0,0.1,2
"41",2,0,0.2,0,0,0.2,0,0.2,0,0,2
"42",2,0,0.2,0,0,0.2,0,0.2,0,0,2
"43",2,0,0.2,0,0,0.2,0,0.2,0,0,2
"44",2,0,0.2,0,0,0.2,0,0.2,0,0,2
