"","starting_range","ending_range","average_n_events","SD","transition_type"
"178","A","A","92.64","8.65","in situ speciation"
"2290","AD","A","11.28","2.332","vicariance or subset sympatry or extinction"
"2293","AD","D","8.47","1.359","vicariance or subset sympatry or extinction"
"190","A","AD","8.14","1.747","dispersal"
"3170","AI","A","7.75","1.888","vicariance or subset sympatry or extinction"
"3178","AI","I","7.72","1.484","vicariance or subset sympatry or extinction"
"709","D","D","6.68","1.537","in situ speciation"
"2302","AD","AD","6.05","2.38","wide sympatry or subset sympatry"
"532","C","C","5.98","1.764","in situ speciation"
"3187","AI","AI","5.09","2.075","wide sympatry or subset sympatry"
"1594","I","I","4.67","3.709","in situ speciation"
"195","A","AI","3.74","1.177","dispersal"
"5108","CE","C","3.5","1.049","vicariance or subset sympatry or extinction"
"2833","AG","AG","3.34","1.821","wide sympatry or subset sympatry"
"5110","CE","E","3.11","0.751","vicariance or subset sympatry or extinction"
"193","A","AG","3","1.155","dispersal"
"2818","AG","A","2.56","1.696","vicariance or subset sympatry or extinction"
"2824","AG","G","2.56","1.038","vicariance or subset sympatry or extinction"
"16462","BCE","BCE","2.19","1.285","wide sympatry or subset sympatry"
"2114","AC","A","2.06","1.391","vicariance or subset sympatry or extinction"
"2116","AC","C","1.9","1.176","vicariance or subset sympatry or extinction"
"558","C","CE","1.89","1.091","dispersal"
"1063","F","F","1.66","0.755","in situ speciation"
"189","A","AC","1.62","0.982","dispersal"
"194","A","AH","1.35","0.557","dispersal"
"1938","AB","A","1.29","1.113","vicariance or subset sympatry or extinction"
"234","A","ABD","1.13","0.661","dispersal"
"5134","CE","CE","1.07","1.157","wide sympatry or subset sympatry"
"910","E","CE","1.04","0.974","dispersal"
"1603","I","AI","1.04","1.048","dispersal"
"2642","AF","A","1.03","1.251","vicariance or subset sympatry or extinction"
"12922","ADG","ADG","1.03","1.425","wide sympatry or subset sympatry"
"2466","AE","A","1.02","1.172","vicariance or subset sympatry or extinction"
"1939","AB","B","1","0.752","vicariance or subset sympatry or extinction"
"2125","AC","AC","1","1.11","wide sympatry or subset sympatry"
"250","A","ADG","0.98","0.765","dispersal"
"1103","F","FG","0.98","0.348","dispersal"
"10035","ABD","B","0.97","0.481","vicariance or subset sympatry or extinction"
"16371","BCE","B","0.97","0.361","vicariance or subset sympatry or extinction"
"188","A","AB","0.96","0.764","dispersal"
"10046","ABD","AD","0.96","0.47","vicariance or subset sympatry or extinction"
"549","C","BC","0.85","0.5","dispersal"
"16372","BCE","C","0.8","0.778","vicariance or subset sympatry or extinction"
"259","A","AFG","0.79","0.498","dispersal"
"2470","AE","E","0.79","1.008","vicariance or subset sympatry or extinction"
"12674","ADF","A","0.78","0.927","vicariance or subset sympatry or extinction"
"12856","ADG","G","0.77","0.93","vicariance or subset sympatry or extinction"
"12686","ADF","AD","0.75","0.575","vicariance or subset sympatry or extinction"
"12745","ADF","ADF","0.75","0.914","wide sympatry or subset sympatry"
"12679","ADF","F","0.74","0.562","vicariance or subset sympatry or extinction"
"14434","AFG","A","0.71","1.057","vicariance or subset sympatry or extinction"
"1279","G","FG","0.69","0.506","dispersal"
"13026","ADH","A","0.66","0.901","vicariance or subset sympatry or extinction"
"2479","AE","AE","0.65","0.857","wide sympatry or subset sympatry"
"11442","ACE","A","0.65","0.947","vicariance or subset sympatry or extinction"
"2656","AF","AF","0.63","0.884","wide sympatry or subset sympatry"
"9858","ABC","A","0.63","0.96","vicariance or subset sympatry or extinction"
"2994","AH","A","0.62","0.789","vicariance or subset sympatry or extinction"
"4755","BJ","B","0.62","0.488","vicariance or subset sympatry or extinction"
"4763","BJ","J","0.62","0.488","vicariance or subset sympatry or extinction"
"16374","BCE","E","0.62","0.508","vicariance or subset sympatry or extinction"
"192","A","AF","0.6","0.682","dispersal"
"1948","AB","AB","0.6","0.943","wide sympatry or subset sympatry"
"12850","ADG","A","0.6","0.943","vicariance or subset sympatry or extinction"
"5198","CE","BCE","0.58","0.606","dispersal"
"11470","ACE","CE","0.57","0.769","vicariance or subset sympatry or extinction"
"191","A","AE","0.56","0.686","dispersal"
"249","A","ADF","0.53","0.559","dispersal"
"718","D","AD","0.53","0.771","dispersal"
"11268","ACD","C","0.52","0.659","vicariance or subset sympatry or extinction"
"11278","ACD","AD","0.5","0.611","vicariance or subset sympatry or extinction"
"206","A","CE","0.49","0.502","dispersal and extinction"
"9877","ABC","BC","0.49","0.643","vicariance or subset sympatry or extinction"
"9860","ABC","C","0.48","0.659","vicariance or subset sympatry or extinction"
"14515","AFG","AFG","0.48","0.937","wide sympatry or subset sympatry"
"242","A","ACE","0.47","0.643","dispersal"
"2890","AG","ADG","0.46","0.642","dispersal"
"3614","BC","BCE","0.44","0.608","dispersal"
"12862","ADG","AD","0.44","0.556","vicariance or subset sympatry or extinction"
"15400","AGI","AGI","0.44","0.925","wide sympatry or subset sympatry"
"233","A","ABC","0.43","0.671","dispersal"
"9913","ABC","ABC","0.42","0.684","wide sympatry or subset sympatry"
"181","A","D","0.41","0.588","founder event speciation or dispersal and extinction"
"2346","AD","ABD","0.41","0.621","dispersal"
"2647","AF","F","0.4","0.532","vicariance or subset sympatry or extinction"
"13063","ADH","DH","0.4","0.492","vicariance or subset sympatry or extinction"
"15320","AGI","G","0.4","0.512","vicariance or subset sympatry or extinction"
"15331","AGI","AI","0.4","0.532","vicariance or subset sympatry or extinction"
"187","A","J","0.39","0.601","founder event speciation or dispersal and extinction"
"622","C","BCE","0.38","0.488","dispersal"
"3524","BC","C","0.38","0.678","vicariance or subset sympatry or extinction"
"1994","AB","ABD","0.37","0.562","dispersal"
"3346","AJ","A","0.37","0.95","vicariance or subset sympatry or extinction"
"886","E","E","0.36","0.772","in situ speciation"
"2899","AG","AFG","0.36","0.56","dispersal"
"15314","AGI","A","0.35","0.857","vicariance or subset sympatry or extinction"
"14479","AFG","FG","0.33","0.551","vicariance or subset sympatry or extinction"
"3541","BC","BC","0.32","0.601","wide sympatry or subset sympatry"
"743","D","DH","0.31","0.465","dispersal"
"974","E","BCE","0.31","0.526","dispersal"
"3966","BE","BCE","0.31","0.563","dispersal"
"12853","ADG","D","0.31","0.563","vicariance or subset sympatry or extinction"
"13099","ADH","ADH","0.31","0.615","wide sympatry or subset sympatry"
"1595","I","J","0.3","0.461","founder event speciation or dispersal and extinction"
"4932","CD","C","0.3","0.482","vicariance or subset sympatry or extinction"
"241","A","ACD","0.29","0.518","dispersal"
"4933","CD","D","0.29","0.456","vicariance or subset sympatry or extinction"
"3001","AH","H","0.28","0.473","vicariance or subset sympatry or extinction"
"3010","AH","AH","0.28","0.494","wide sympatry or subset sympatry"
"3364","AJ","AJ","0.28","0.726","wide sympatry or subset sympatry"
