"","tree_replicate","BSM_replicate","in_situ_speciation","founder_event_speciation","allopatry","subset_sympatry","dispersal","extinction"
"1",1,1,104,0,66,56,44,2
"2",1,2,112,0,58,56,46,3
"3",1,3,118,0,54,54,44,2
"4",1,4,112,0,62,52,44,1
"5",1,5,112,0,56,58,42,1
"6",1,6,106,0,56,64,43,2
"7",1,7,98,0,58,70,43,3
"8",1,8,126,0,60,40,46,1
"9",1,9,124,0,56,46,43,0
"10",1,10,104,0,62,60,44,0
"11",2,1,94,0,52,80,44,4
"12",2,2,112,0,64,50,45,1
"13",2,3,114,0,64,48,45,0
"14",2,4,108,0,66,52,48,1
"15",2,5,104,0,64,58,44,1
"16",2,6,114,0,60,52,45,3
"17",2,7,98,0,54,74,44,4
"18",2,8,114,0,58,54,44,4
"19",2,9,102,0,60,64,47,2
"20",2,10,120,0,58,48,44,4
"21",3,1,98,0,56,72,42,1
"22",3,2,114,0,60,52,43,2
"23",3,3,120,0,58,48,41,1
"24",3,4,108,0,56,62,47,3
"25",3,5,114,0,56,56,44,2
"26",3,6,108,0,66,52,45,0
"27",3,7,106,0,62,58,47,2
"28",3,8,104,0,58,64,43,2
"29",3,9,114,0,56,56,40,1
"30",3,10,120,0,54,52,40,2
"31",4,1,108,0,68,50,44,2
"32",4,2,98,0,56,72,44,3
"33",4,3,108,0,58,60,42,4
"34",4,4,106,0,56,64,40,4
"35",4,5,102,0,60,64,40,2
"36",4,6,98,0,60,68,42,2
"37",4,7,92,0,60,74,42,1
"38",4,8,110,0,62,54,44,2
"39",4,9,114,0,64,48,45,2
"40",4,10,116,0,52,58,44,3
"41",5,1,110,0,58,58,43,3
"42",5,2,124,0,60,42,43,2
"43",5,3,110,0,60,56,44,3
"44",5,4,132,0,52,42,40,4
"45",5,5,116,0,50,60,38,3
"46",5,6,118,0,46,62,34,4
"47",5,7,110,0,50,66,40,6
"48",5,8,116,0,48,62,44,5
"49",5,9,128,0,50,48,42,4
"50",5,10,112,0,46,68,42,8
"51",6,1,114,0,56,56,43,2
"52",6,2,106,0,60,60,48,2
"53",6,3,114,0,62,50,47,2
"54",6,4,120,0,62,44,44,1
"55",6,5,102,0,60,64,44,1
"56",6,6,124,0,58,44,42,1
"57",6,7,104,0,68,54,47,1
"58",6,8,122,0,56,48,42,0
"59",6,9,118,0,58,50,45,0
"60",6,10,120,0,58,48,45,2
"61",7,1,106,0,56,64,41,4
"62",7,2,116,0,64,46,41,0
"63",7,3,98,0,58,70,46,2
"64",7,4,110,0,52,64,40,1
"65",7,5,110,0,58,58,42,2
"66",7,6,110,0,58,58,45,1
"67",7,7,122,0,48,56,40,3
"68",7,8,112,0,60,54,46,3
"69",7,9,116,0,58,52,47,3
"70",7,10,120,0,52,54,41,3
"71",8,1,124,0,58,44,44,3
"72",8,2,124,0,58,44,41,0
"73",8,3,114,0,62,50,44,0
"74",8,4,122,0,56,48,43,3
"75",8,5,112,0,68,46,45,2
"76",8,6,122,0,60,44,43,2
"77",8,7,118,0,64,44,42,2
"78",8,8,118,0,60,48,48,2
"79",8,9,110,0,60,56,47,0
"80",8,10,110,0,62,54,45,1
"81",9,1,114,0,58,54,42,0
"82",9,2,114,0,50,62,38,2
"83",9,3,116,0,58,52,41,2
"84",9,4,106,0,56,64,44,4
"85",9,5,114,0,58,54,44,1
"86",9,6,120,0,62,44,49,4
"87",9,7,122,0,58,46,41,3
"88",9,8,118,0,54,54,40,2
"89",9,9,112,0,52,62,44,2
"90",9,10,112,0,56,58,41,1
"91",10,1,100,0,64,62,46,3
"92",10,2,112,0,60,54,44,5
"93",10,3,114,0,58,54,44,0
"94",10,4,120,0,58,48,47,5
"95",10,5,112,0,58,56,42,3
"96",10,6,118,0,60,48,47,5
"97",10,7,106,0,66,54,50,3
"98",10,8,102,0,64,60,49,2
"99",10,9,118,0,56,52,45,3
"100",10,10,108,0,68,50,51,1
