"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"6192",3,8,212,90,"Pithecia_monachus",0.16,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6193",3,8,211,91,"Pithecia_pithecia",3.77,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"6194",3,8,210,92,"Cebupithecia_sarmientoi",15.88,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6195",3,8,202,93,"Mazzonicebus_almendrae",22.54,20,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"6196",3,8,201,94,"Proteropithecia_neuquenensis",23.66,15.7,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"6197",3,8,200,95,"Insulacebus_toussentiana",24.03,0.01,"AIJ","J","J","AIJ -> J","allopatry","–","–","–","","",""
"6198",3,8,219,96,"Callicebus_cupreus",2.8,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6199",3,8,219,97,"Callicebus_hoffmannsi",2.8,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6200",3,8,218,98,"Callicebus_moloch",3.55,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"6201",3,8,217,99,"Callicebus_brunneus",3.76,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"6202",3,8,220,100,"Callicebus_caligatus",2.12,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6203",3,8,220,101,"Callicebus_donacophilus",2.12,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6204",3,8,222,102,"Callicebus_coimbrai",2.22,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"6205",3,8,222,103,"Callicebus_personatus",2.22,0,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"6206",3,8,221,104,"Callicebus_nigrifrons",4.85,0,"C","C","BC","C -> C","in_situ_speciation","C -> BC","dispersal","2.51","","","d"
"6207",3,8,223,105,"Callicebus_lugens",5.42,0,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","2.91","","","d"
"6208",3,8,223,106,"Callicebus_torquatus",5.42,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6209",3,8,225,107,"Carlocebus_carmenensis",17,16.9,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"6210",3,8,225,108,"Miocallicebus_villaviejai",17,12.5,"AI","A","A","AI -> A","allopatry","–","–","–","","",""
"6211",3,8,224,109,"Homunculus_patagonicus",17.4,16.5,"AI","I","I","AI -> I","subset_sympatry","–","–","–","","",""
"6212",3,8,227,110,"Canaanimico_amazonensis",26.97,26.56,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6213",3,8,227,111,"Szalatavus_attricuspis",26.97,26.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6214",3,8,226,112,"Branisella_boliviana",27.02,26.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6215",3,8,116,113,"Lagonimico_conclucatus",34.6,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6216",3,8,115,114,"Perupithecus_ucayaliensis",37.51,37.41,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6217",3,8,115,116,"inNode116",37.51,34.6,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6218",3,8,116,117,"inNode117",34.6,33.79,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6219",3,8,117,118,"inNode118",33.79,33.59,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6220",3,8,118,119,"inNode119",33.59,30.54,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6221",3,8,119,120,"inNode120",30.54,25.95,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6222",3,8,120,121,"inNode121",25.95,24.99,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6223",3,8,121,122,"inNode122",24.99,20.87,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6224",3,8,122,123,"inNode123",20.87,17.96,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
