"","starting_range","ending_range","average_n_events","SD","transition_type"
"13567","AEF","AE","0.14","0.349","vicariance or subset sympatry or extinction"
"252","A","ADI","0.13","0.338","dispersal"
"290","A","BFJ","0.13","0.338","dispersal and extinction"
"903","E","BE","0.13","0.338","dispersal"
"1426","H","AH","0.13","0.338","dispersal"
"1598","I","AD","0.13","0.338","dispersal and extinction"
"11506","ACE","ACE","0.13","0.418","wide sympatry or subset sympatry"
"13730","AEG","A","0.13","0.485","vicariance or subset sympatry or extinction"
"14161","AEI","AEI","0.13","0.661","wide sympatry or subset sympatry"
"364","B","AB","0.12","0.383","dispersal"
"1413","H","D","0.12","0.327","founder event speciation or dispersal and extinction"
"2169","AC","ABC","0.12","0.356","dispersal"
"2346","AD","ABD","0.12","0.327","dispersal"
"2647","AF","F","0.12","0.327","vicariance or subset sympatry or extinction"
"3878","BE","E","0.12","0.356","vicariance or subset sympatry or extinction"
"9772","IJ","AIJ","0.12","0.383","dispersal"
"13240","ADI","DI","0.12","0.327","vicariance or subset sympatry or extinction"
"16072","AIJ","IJ","0.12","0.383","vicariance or subset sympatry or extinction"
"16389","BCE","BC","0.12","0.356","vicariance or subset sympatry or extinction"
"357","B","D","0.11","0.345","founder event speciation or dispersal and extinction"
"1660","I","ADI","0.11","0.345","dispersal"
"2904","AG","AGI","0.11","0.345","dispersal"
"3238","AI","ACI","0.11","0.314","dispersal"
"5842","CI","CI","0.11","0.49","wide sympatry or subset sympatry"
"10044","ABD","AB","0.11","0.345","vicariance or subset sympatry or extinction"
"12146","ACI","A","0.11","0.399","vicariance or subset sympatry or extinction"
"13807","AEG","AEG","0.11","0.424","wide sympatry or subset sympatry"
"14082","AEI","A","0.11","0.549","vicariance or subset sympatry or extinction"
"16391","BCE","BE","0.11","0.314","vicariance or subset sympatry or extinction"
"374","B","BD","0.1","0.302","dispersal"
"3699","BD","B","0.1","0.302","vicariance or subset sympatry or extinction"
"4932","CD","C","0.1","0.362","vicariance or subset sympatry or extinction"
"6904","DI","DI","0.1","0.389","wide sympatry or subset sympatry"
"9064","GI","AGI","0.1","0.362","dispersal"
"11277","ACD","AC","0.1","0.302","vicariance or subset sympatry or extinction"
"14090","AEI","I","0.1","0.438","vicariance or subset sympatry or extinction"
"17430","BDE","E","0.1","0.302","vicariance or subset sympatry or extinction"
"17446","BDE","BD","0.1","0.302","vicariance or subset sympatry or extinction"
"215","A","DH","0.09","0.288","dispersal and extinction"
"1586","I","A","0.09","0.288","founder event speciation or dispersal and extinction"
"1995","AB","ABE","0.09","0.288","dispersal"
"4933","CD","D","0.09","0.288","vicariance or subset sympatry or extinction"
"5818","CI","I","0.09","0.452","vicariance or subset sympatry or extinction"
"15364","AGI","GI","0.09","0.351","vicariance or subset sympatry or extinction"
"17607","BDF","F","0.09","0.288","vicariance or subset sympatry or extinction"
"17622","BDF","BD","0.09","0.288","vicariance or subset sympatry or extinction"
"181","A","D","0.08","0.273","founder event speciation or dispersal and extinction"
"196","A","AJ","0.08","0.339","dispersal"
"1240","G","G","0.08","0.394","in situ speciation"
"1624","I","DI","0.08","0.273","dispersal"
"3260","AI","AIJ","0.08","0.273","dispersal"
"9913","ABC","ABC","0.08","0.273","wide sympatry or subset sympatry"
"10577","ABG","AG","0.08","0.273","vicariance or subset sympatry or extinction"
"11453","ACE","AC","0.08","0.273","vicariance or subset sympatry or extinction"
"11794","ACG","A","0.08","0.273","vicariance or subset sympatry or extinction"
"13554","AEF","A","0.08","0.307","vicariance or subset sympatry or extinction"
"13630","AEF","AEF","0.08","0.307","wide sympatry or subset sympatry"
"14479","AFG","FG","0.08","0.273","vicariance or subset sympatry or extinction"
"246","A","ACI","0.07","0.256","dispersal"
"356","B","C","0.07","0.256","founder event speciation or dispersal and extinction"
"541","C","AC","0.07","0.326","dispersal"
"593","C","ACD","0.07","0.256","dispersal"
"1234","G","A","0.07","0.293","founder event speciation or dispersal and extinction"
"2178","AC","ACE","0.07","0.326","dispersal"
"2530","AE","ACE","0.07","0.256","dispersal"
"2542","AE","AEF","0.07","0.256","dispersal"
"3067","AH","ADH","0.07","0.293","dispersal"
"3182","AI","AD","0.07","0.293","dispersal and extinction"
"3355","AJ","J","0.07","0.256","vicariance or subset sympatry or extinction"
"6196","DE","DE","0.07","0.293","wide sympatry or subset sympatry"
"7754","EI","I","0.07","0.355","vicariance or subset sympatry or extinction"
"10210","ABE","A","0.07","0.256","vicariance or subset sympatry or extinction"
"10231","ABE","BE","0.07","0.256","vicariance or subset sympatry or extinction"
"10563","ABG","B","0.07","0.256","vicariance or subset sympatry or extinction"
"10621","ABG","ABG","0.07","0.293","wide sympatry or subset sympatry"
"11618","ACF","A","0.07","0.256","vicariance or subset sympatry or extinction"
"11620","ACF","C","0.07","0.256","vicariance or subset sympatry or extinction"
"11632","ACF","AF","0.07","0.256","vicariance or subset sympatry or extinction"
"11683","ACF","ACF","0.07","0.256","wide sympatry or subset sympatry"
"11809","ACG","AG","0.07","0.256","vicariance or subset sympatry or extinction"
"11860","ACG","ACG","0.07","0.256","wide sympatry or subset sympatry"
"21125","CDE","D","0.07","0.293","vicariance or subset sympatry or extinction"
"186","A","I","0.06","0.239","founder event speciation or dispersal and extinction"
"187","A","J","0.06","0.239","founder event speciation or dispersal and extinction"
"237","A","ABG","0.06","0.239","dispersal"
"240","A","ABJ","0.06","0.239","dispersal"
"244","A","ACG","0.06","0.239","dispersal"
"382","B","CE","0.06","0.239","dispersal and extinction"
"885","E","D","0.06","0.239","founder event speciation or dispersal and extinction"
"895","E","AE","0.06","0.239","dispersal"
"1320","G","AGI","0.06","0.239","dispersal"
"1410","H","A","0.06","0.239","founder event speciation or dispersal and extinction"
"1654","I","ACI","0.06","0.239","dispersal"
"1788","J","BJ","0.06","0.239","dispersal"
"1993","AB","ABC","0.06","0.239","dispersal"
"4051","BF","B","0.06","0.239","vicariance or subset sympatry or extinction"
"4055","BF","F","0.06","0.239","vicariance or subset sympatry or extinction"
"5812","CI","C","0.06","0.312","vicariance or subset sympatry or extinction"
"9859","ABC","B","0.06","0.239","vicariance or subset sympatry or extinction"
"9869","ABC","AC","0.06","0.239","vicariance or subset sympatry or extinction"
"11446","ACE","E","0.06","0.239","vicariance or subset sympatry or extinction"
"11796","ACG","C","0.06","0.239","vicariance or subset sympatry or extinction"
"14095","AEI","AE","0.06","0.239","vicariance or subset sympatry or extinction"
"21150","CDE","CE","0.06","0.239","vicariance or subset sympatry or extinction"
