"","SUM_A","SUM_B","SUM_C","SUM_D","SUM_E","SUM_F","SUM_G","SUM_H","SUM_I","SUM_J","LTT"
"0",44,6,12,20,7,5,7.98,2,0,0,82
"1",40.06,6.92,10.42,18.38,6.8,4.28,6.24,1.86,0.04,1.04,74.6
"2",35.72,5.78,9.46,16.06,5.74,3.42,4.76,1.1,0.06,1.96,62.7
"3",28.14,5.2,7.68,13.14,4.84,2.56,3.18,0.84,0.08,1.92,48.2
"4",23.16,4.66,6.04,10.52,3.6,2.18,2.52,0.76,0.18,1.78,37.7
"5",18.78,3.98,5.2,8.86,2.72,1.9,2.28,0.74,0.2,1.72,29.9
"6",16.9,3.6,4.24,8.26,2.06,1.8,2.18,0.62,0.22,1.66,26.1
"7",15.64,2.7,3.5,7.7,1.64,1.66,2.06,0.48,0.22,1.52,22
"8",16.6,2.02,3.2,7.32,1.48,1.52,1.96,0.44,0.22,1.5,21.7
"9",15.68,1.02,2.9,6.64,1.36,1.26,1.74,0.26,0.26,1.44,19.8
"10",15.06,0.88,2.74,6.22,1.34,1.16,1.54,0.18,0.26,1.42,18.7
"11",13.92,0.7,2.6,5.92,1.34,0.94,1.34,0.16,0.3,1.34,16.9
"12",13.04,0.36,2.5,5.46,1.18,0.64,0.82,0.14,0.38,1.12,15.5
"13",20.4,0.04,2.4,4.76,1.06,0.18,0.54,0,0.56,0.88,22.4
"14",18.02,0.02,1.94,3.86,0.98,0.18,0.48,0,0.62,0.88,20
"15",16.04,0,1.48,2.94,0.68,0.16,0.44,0,0.64,0.9,18
"16",13.92,0,1.04,2.34,0.58,0.14,0.4,0,1.72,0.88,16.5
"17",12.22,0,0.74,1.6,0.42,0.1,0.38,0,5.2,0.86,17.1
"18",10.24,0,0.58,1.14,0.32,0.08,0.34,0,4.36,0.86,13.4
"19",8.86,0,0.5,0.88,0.22,0.08,0.34,0,3.96,0.86,11.4
"20",8,0,0.32,0.62,0.14,0.06,0.32,0,6.86,0.86,13
"21",7.6,0,0.24,0.4,0.08,0.02,1.26,0,6.36,0.84,11.6
"22",6.98,0,0.16,0.16,0.06,0.02,0.86,0,5.02,0.8,9.1
"23",5.82,0,0.1,0.16,0.04,0.02,0.66,0,4.46,0.64,6.8
"24",5.06,0,0.08,0.1,0,0.02,0.52,0,3.36,0.64,6
"25",4.12,0,0.06,0.08,0,0.02,0.34,0,2.54,0.6,4.9
"26",3.4,0,0.02,0.02,0,0,0.3,0,1.76,0.6,4
"27",5.54,0,0.02,0.02,0,0,0.28,0,1.56,0.58,6.2
"28",3.98,0,0.02,0,0,0,0.26,0,1.02,0.52,4.3
"29",3.04,0,0,0,0.02,0,0.24,0,0.78,0.54,3.2
"30",2.36,0.02,0,0,0.02,0,0.24,0,0.68,0.54,2.4
"31",2.22,0.02,0,0,0.04,0,0.26,0,0.64,0.54,2.3
"32",1.94,0.02,0,0,0.04,0,0.26,0,0.5,0.52,2
"33",1.72,0.04,0,0.02,0.04,0,0.26,0,0.48,0.5,1.8
"34",1.28,0.04,0,0.04,0.04,0,0.26,0,0.42,0.48,1.4
"35",1.06,0.04,0.02,0.06,0.06,0,0.22,0.04,0.26,0.4,1.3
"36",0.94,0.04,0.04,0.08,0.04,0,0.22,0.04,0.26,0.4,1.2
"37",0.94,0.04,0.04,0.08,0.04,0,0.22,0.04,0.28,0.4,1.2
"38",2,0.08,0.04,0.12,0.04,0,0.2,0.04,0.2,0.36,2.2
"39",1.85,0.05,0.05,0.15,0.05,0,0.2,0.05,0.25,0.5,2
"40",1.8,0.0666666666666667,0.0666666666666667,0.133333333333333,0.0666666666666667,0,0.266666666666667,0.0666666666666667,0.2,0.4,2
"41",1.8,0.1,0.1,0.2,0.1,0,0.2,0.2,0.1,0.2,2
"42",1.7,0.1,0.1,0.2,0.1,0,0.3,0.2,0.1,0.2,2
"43",1.8,0,0,0,0,0.2,0.2,0.2,0,0,2
"44",1.6,0,0,0,0,0.2,0.4,0.2,0,0,2
