"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"1",1,1,130,1,"Mico_emiliae",0.63,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2",1,1,130,2,"Mico_mauesi",0.63,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"3",1,1,129,3,"Mico_humeralifer",0.81,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"4",1,1,128,4,"Mico_argentatus",2.34,0,"AD","D","D","AD -> D","subset_sympatry","–","–","–","","",""
"5",1,1,127,5,"Cebuella_pygmaea",6.02,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"6",1,1,134,6,"Callithrix_jacchus",0.85,0,"BCE","B","B","BCE -> B","allopatry","–","–","–","","",""
"7",1,1,134,7,"Callithrix_penicillata",0.85,0,"BCE","CE","BCE","BCE -> CE","allopatry","CE -> BCE","dispersal","0.39","","","d"
"8",1,1,133,8,"Callithrix_kuhlii",1.92,0,"CE","E","E","CE -> E","subset_sympatry","–","–","–","","",""
"9",1,1,132,9,"Callithrix_geoffroyi",2.15,0,"CE","C","C","CE -> C","subset_sympatry","–","–","–","","",""
"10",1,1,131,10,"Callithrix_aurita",6.1,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"11",1,1,125,126,"inNode126",14.34,7.56,"A","A","ACD","A -> A","in_situ_speciation","A -> ACD","dispersal","14.01","","vicariance (v)","d"
"12",1,1,126,127,"inNode127",7.56,6.02,"ACD","AD","AD","ACD -> AD","allopatry","–","–","–","","subset (s)",""
"13",1,1,127,128,"inNode128",6.02,2.34,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","subset (s)",""
"14",1,1,128,129,"inNode129",2.34,0.81,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","subset (s)",""
"15",1,1,129,130,"inNode130",0.81,0.63,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","vicariance (v)",""
"16",1,1,126,131,"inNode131",7.56,6.1,"ACD","C","C","ACD -> C","allopatry","–","–","–","","sympatry (y)",""
"17",1,1,131,132,"inNode132",6.1,2.15,"C","C","CE","C -> C","in_situ_speciation","C -> CE","dispersal","4.7","","subset (s)","d"
"18",1,1,132,133,"inNode133",2.15,1.92,"CE","CE","CE","CE -> CE","subset_sympatry","–","–","–","","subset (s)",""
"19",1,1,133,134,"inNode134",1.92,0.85,"CE","CE","BCE","CE -> CE","subset_sympatry","CE -> BCE","dispersal","1.64","","vicariance (v)","d"
"20",1,1,125,11,"Callimico_goeldii",14.34,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","",NA,""
"21",1,1,137,12,"Leontopithecus_chrysopygus",0.14,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"22",1,1,137,13,"Leontopithecus_rosalia",0.14,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"23",1,1,136,14,"Leontopithecus_chrysomelas",0.67,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"24",1,1,135,136,"inNode136",12.5,0.67,"ACE","CE","CE","ACE -> CE","allopatry","–","–","–","","vicariance (v)",""
"25",1,1,136,137,"inNode137",0.67,0.14,"CE","C","C","CE -> C","allopatry","–","–","–","","sympatry (y)",""
"26",1,1,135,15,"Micodon_kyotensis",12.5,12.4,"ACE","A","A","ACE -> A","allopatry","–","–","–","",NA,""
"27",1,1,142,16,"Saguinus_bicolor",3.13,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"28",1,1,142,17,"Saguinus_martinsi",3.13,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"29",1,1,141,18,"Saguinus_midas",4.95,0,"AD","AD","D","AD -> AD","subset_sympatry","AD -> D","extinction","3.83","","","e"
"30",1,1,143,19,"Saguinus_geoffroyi",0.75,0,"AG","G","G","AG -> G","subset_sympatry","–","–","–","","",""
"31",1,1,143,20,"Saguinus_oedipus",0.75,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"32",1,1,145,21,"Saguinus_labiatus",1.92,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"33",1,1,145,22,"Saguinus_mystax",1.92,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"34",1,1,144,23,"Saguinus_imperator",4.37,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"35",1,1,138,139,"inNode139",10.4,8.15,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"36",1,1,139,140,"inNode140",8.15,7,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"37",1,1,140,141,"inNode141",7,4.95,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","6.39","","subset (s)","d"
