"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","individualCount","occurrenceRemarks","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","sex","previousCatalogNumber","county","infraspecificEpithet"
"15","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406574","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Smithsonian Venezuelan Project","19631","1967","6","13","South America","Venezuela","Capibara, 106 Km SW Esmeralda, Brazo Casiquiare","Skin; Skull","1",NA,"Amazonas","-66.32","2.62","066 19 -- W","02 37 -- N","130.0",NA,NA,NA,NA
"16","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","495201","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Smithsonian Venezuelan Project","19481","1967","6","2","South America","Venezuela","Capibara, 106 Km SW Esmeralda, Brazo Casiquiare","Fluid","1",NA,"Amazonas","-66.32","2.62","066 19 -- W","02 37 -- N","130.0",NA,NA,NA,NA
"17","2015-02-23 14:57:16-03","NHMLondon","NHM-LONDON-ZOO","1933.10.11.2","S","Animalia","Chordata","Mammalia","Primates",NA,"Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","NHMUK:ecatalogue:4080635",NA,NA
"18","2015-02-23 14:57:16-03","NHMLondon","NHM-LONDON-ZOO","1933.10.11.2","S","Animalia","Chordata","Mammalia","Primates",NA,"Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"female","NHMUK:ecatalogue:4080634",NA,NA
"19","2016-08-23 09:42:12-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.18","S","Animalia","Chordata","Mammalia","Primates",NA,"Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,"1925","08","29",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male","NHMUK:ecatalogue:4078208",NA,NA
"20","2016-08-23 09:42:12-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.18","S","Animalia","Chordata","Mammalia","Primates",NA,"Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,"1925","08","29",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"male","NHMUK:ecatalogue:4078209",NA,NA
"21","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63878","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Venezuela","Jabromabibeiteri",NA,"1","Mammals of the Neotropics EISENBERG, John F.","Territorio Federal Amazonas","-65.0333333333333","1.72083333333333",NA,NA,NA,NA,NA,NA,NA
"22","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63880","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Brasil","Río Içá afluente Río Solimões",NA,"1","Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio","Estado de Amazonas","-68.6247222222222","-2.9",NA,NA,NA,NA,NA,NA,NA
"23","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","5417","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Serranía De Naquen",NA,"1","Amazon 1992. Final Report A Cambridge-RHBNC Expedition to Colombia KINGSTON, Tigga;BARLOW, Kate;NEWMAN, Jonathan;et al.","Guainía","-68.2166666666667","2.13333333333333",NA,NA,NA,NA,NA,"Puerto Colombia",NA
"24","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","5049","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Río Negro afluente Río Amazonas",NA,"1","Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio","Guainía","-66.9483333333333","1.5",NA,NA,NA,NA,NA,"La Guadalupe",NA
